"Reporter Name"	"LE_PO_rawData_r1"	"LE_PO_rawData_r2"
"pos-controls-4847"	84.59	105.64
"pos-controls-4848"	118.98	71.03
"pos-controls-4849"	122.19	87.59
"pos-controls-4850"	133.66	127.24
"pos-controls-4851"	115.04	112.73
"pos-controls-4852"	129.04	114.94
"pos-controls-4861"	111.45	95.47
"pos-controls-4862"	141.33	109.16
"pos-controls-4863"	106.14	115.35
"pos-controls-4864"	115.67	89.15
"pos-controls-4865"	133.97	87.91
"pos-controls-4866"	138.41	117.7
"pos-controls-4867"	122.79	90.32
"pos-controls-4868"	104.28	99.49
"pos-controls-4885"	155.69	174.53
"pos-controls-4886"	166.98	148.82
"pos-controls-4887"	183.88	227.95
"pos-controls-4888"	186.16	163.1
"pos-controls-4893"	75.32	82.68
"pos-controls-4894"	78.1	78.14
"pos-controls-4895"	72.73	75.92
"pos-controls-4896"	62.37	69.14
"pos-controls-4897"	77.33	66.65
"pos-controls-4898"	70.95	64.49
"pos-controls-4899"	66.58	54.51
"pos-controls-4900"	58	68.64
"pos-controls-4917"	114.64	89.12
"pos-controls-4918"	152.84	77.83
"pos-controls-4919"	118.6	96
"pos-controls-4920"	104.04	94.25
"pos-controls-4921"	224.45	83.16
"pos-controls-4922"	131.94	87.78
"pos-controls-4923"	94.41	104.57
"pos-controls-4924"	107.66	95.6
"pos-controls-4925"	120.34	104.22
"pos-controls-4926"	134.54	104.4
"pos-controls-4927"	151.45	119.54
"pos-controls-4928"	142.7	85.43
"pos-controls-4929"	156.48	141.14
"pos-controls-4930"	181.12	145.46
"pos-controls-4931"	167.58	143.45
"pos-controls-4932"	162.87	94.71
"pos-controls-4949"	144.23	106.33
"pos-controls-4950"	140.45	115.96
"pos-controls-4951"	123.07	108.67
"pos-controls-4952"	116.22	156.33
"pos-controls-4953"	88.11	68.31
"pos-controls-4954"	91.34	74.54
"pos-controls-4955"	83.38	73.92
"pos-controls-4956"	81.39	71.88
"pos-controls-5049"	112.18	136.66
"pos-controls-5050"	179.37	104.49
"pos-controls-5051"	176.65	121.89
"pos-controls-5052"	136.71	121.31
"pos-controls-5057"	115.03	103.21
"pos-controls-5058"	133	113.67
"pos-controls-5059"	112.04	98.2
"pos-controls-5060"	106.74	113.81
"pos-controls-5089"	269.47	390.38
"pos-controls-5090"	506.21	548.18
"pos-controls-5091"	485.61	502.74
"pos-controls-5092"	220.06	258.93
"pos-controls-5101"	111.22	88.16
"pos-controls-5102"	109.86	95.4
"pos-controls-5103"	125.81	104.78
"pos-controls-5104"	120.74	100.34
"pos-controls-5149"	77.55	82.34
"pos-controls-5150"	83.81	96.47
"pos-controls-5151"	67.11	112.05
"pos-controls-5152"	81.11	78.42
"pos-controls-5257"	161.45	136.74
"pos-controls-5258"	196.44	157.11
"pos-controls-5259"	180.48	174.63
"pos-controls-5260"	184.33	206.39
"pos-controls-5261"	79.72	72.24
"pos-controls-5262"	78.11	79.09
"pos-controls-5263"	77.67	55.25
"pos-controls-5264"	73.54	82.65
"pos-controls-5313"	216.11	222.78
"pos-controls-5314"	268.67	190.84
"pos-controls-5315"	193.9	146.56
"pos-controls-5316"	214.36	162.77
"pos-controls-5401"	110.8	94.49
"pos-controls-5402"	116.99	94.84
"pos-controls-5403"	142.12	120.57
"pos-controls-5404"	108.45	96.36
"pos-controls-5465"	246.85	254.63
"pos-controls-5466"	422.47	225.83
"pos-controls-5467"	266.96	241.47
"pos-controls-5468"	231.51	220.79
"pos-controls-5469"	210.77	171.17
"pos-controls-5470"	282.11	278.25
"pos-controls-5471"	238.6	182.74
"pos-controls-5472"	276.19	213.64
"pos-controls-5481"	416.52	324.27
"pos-controls-5482"	410.96	305.79
"pos-controls-5483"	342.23	324.81
"pos-controls-5484"	323.84	327.03
"pos-controls-5485"	188.33	141.85
"pos-controls-5486"	168.75	136.4
"pos-controls-5487"	198.26	145.21
"pos-controls-5488"	214.29	104.19
"pos-controls-5549"	141.59	200.28
"pos-controls-5550"	225.27	224.61
"pos-controls-5551"	248.68	224.66
"pos-controls-5552"	276.16	186.21
"pos-controls-5565"	290.44	230.01
"pos-controls-5566"	305.98	162.12
"pos-controls-5567"	248	206.33
"pos-controls-5568"	289.26	168.15
"pos-controls-5577"	143.36	93.39
"pos-controls-5578"	133.41	89
"pos-controls-5579"	143.31	100.68
"pos-controls-5580"	122.62	121.89
"pos-controls-5581"	134.62	148.08
"pos-controls-5582"	174.36	99.27
"pos-controls-5583"	131.11	235.17
"pos-controls-5584"	157.38	129.82
"pos-controls-5613"	542.03	490.96
"pos-controls-5614"	500.97	431.23
"pos-controls-5615"	467.2	383.04
"pos-controls-5616"	494.61	530.31
"pos-controls-5617"	128.07	60.67
"pos-controls-5618"	107.5	77.5
"pos-controls-5619"	129.16	98.08
"pos-controls-5620"	147.43	99.93
"pos-controls-5753"	122.39	128.38
"pos-controls-5754"	135.1	116.4
"pos-controls-5755"	133.68	123.88
"pos-controls-5756"	122.14	121.36
"pos-controls-5781"	81.8	64.58
"pos-controls-5782"	80.37	80.87
"pos-controls-5783"	76.59	73.22
"pos-controls-5784"	92.09	76.45
"pos-controls-5785"	70.54	49.78
"pos-controls-5786"	96.91	67.96
"pos-controls-5787"	74.53	52.34
"pos-controls-5788"	79.75	63.58
"pos-controls-5845"	168.02	103.65
"pos-controls-5846"	96.65	137.41
"pos-controls-5847"	116.8	101.11
"pos-controls-5848"	109.92	114.49
"pos-controls-5869"	303.56	200.67
"pos-controls-5870"	253.11	235.91
"pos-controls-5871"	256.37	169.77
"pos-controls-5872"	216.51	230.49
"pos-controls-5925"	165.76	101.08
"pos-controls-5926"	116.97	107.57
"pos-controls-5927"	134.98	106.37
"pos-controls-5928"	160.55	119.04
"pos-controls-5965"	95.16	76.82
"pos-controls-5966"	72.09	68.25
"pos-controls-5967"	77.29	63.9
"pos-controls-5968"	68.58	71.66
"pos-controls-5969"	85.68	172.58
"pos-controls-5970"	78.25	67.44
"pos-controls-5971"	84.94	74.92
"pos-controls-5972"	130.72	92.06
"pos-controls-5993"	191.51	142.27
"pos-controls-5994"	151.34	101.12
"pos-controls-5995"	145.97	117.37
"pos-controls-5996"	183.01	99.66
"pos-controls-5997"	136.6	139.25
"pos-controls-5998"	150.38	154.09
"pos-controls-5999"	160.28	128.95
"pos-controls-6000"	148.88	124.36
"pos-controls-6029"	217.68	148.99
"pos-controls-6030"	188.84	112.62
"pos-controls-6031"	177.82	159.5
"pos-controls-6032"	192.35	104.54
"pos-controls-6097"	263.26	207.34
"pos-controls-6098"	323.27	231.94
"pos-controls-6099"	310.47	173.93
"pos-controls-6100"	364.86	206.42
"pos-controls-6109"	114.93	111.72
"pos-controls-6110"	129.19	102.08
"pos-controls-6111"	115.45	106.18
"pos-controls-6112"	127.67	98.66
"pos-controls-6149"	103.3	101.36
"pos-controls-6150"	85.78	81.58
"pos-controls-6151"	92.04	67.57
"pos-controls-6152"	85.35	77.91
"pos-controls-6221"	145.28	114.18
"pos-controls-6222"	199.48	137.05
"pos-controls-6223"	156.43	92.3
"pos-controls-6224"	152.3	157.35
"pos-controls-6225"	284.09	240.82
"pos-controls-6226"	228.72	213.65
"pos-controls-6227"	228.44	245.66
"pos-controls-6228"	205.67	218.81
"pos-controls-6249"	238.54	133.62
"pos-controls-6250"	163.94	175.43
"pos-controls-6251"	226.94	195.63
"pos-controls-6252"	182.19	121.87
"pos-controls-6273"	2609.04	1931.66
"pos-controls-6274"	2109.8	1482.37
"pos-controls-6275"	2631.99	1737.81
"pos-controls-6276"	2405.5	1714.8
"pos-controls-6333"	96.64	84.93
"pos-controls-6334"	131.52	97.71
"pos-controls-6335"	116.56	102.42
"pos-controls-6336"	121.8	89.25
"pos-controls-6341"	111.07	87.37
"pos-controls-6342"	116.71	99.33
"pos-controls-6343"	91.11	73.26
"pos-controls-6344"	88.48	85.65
"pos-controls-6345"	151.39	121.56
"pos-controls-6346"	202.07	116.5
"pos-controls-6347"	145.01	116.44
"pos-controls-6348"	148.34	125.3
"pos-controls-6457"	175.46	184.89
"pos-controls-6458"	183.29	107.26
"pos-controls-6459"	165.33	118.89
"pos-controls-6460"	163.8	131.05
"pos-controls-6461"	75.34	68.93
"pos-controls-6462"	78.59	64.15
"pos-controls-6463"	75.82	69.5
"pos-controls-6464"	65.76	67.65
"pos-controls-6465"	202.74	190.91
"pos-controls-6466"	192.43	172.01
"pos-controls-6467"	210.81	184.97
"pos-controls-6468"	235.65	151.71
"pos-controls-6469"	90.09	79.31
"pos-controls-6470"	91.24	87.58
"pos-controls-6471"	95.95	74.36
"pos-controls-6472"	92.22	82.36
"pos-controls-6509"	284.25	254.17
"pos-controls-6510"	217.77	340.26
"pos-controls-6511"	464.48	496.57
"pos-controls-6512"	582.57	569.74
"pos-controls-6529"	268.83	192.24
"pos-controls-6530"	219.55	170.23
"pos-controls-6531"	257.63	189.26
"pos-controls-6532"	288.7	143.91
"tcruzi-351"	284.17	284.22
"tcruzi-973"	822.78	664.32
"tcruzi-1480"	298.43	258.15
"tcruzi-1484"	264.01	267.73
"tcruzi-1485"	367.86	328.28
"tcruzi-1489"	488.84	420.52
"tcruzi-1491"	517.02	453.61
"tcruzi-1492"	408.15	410.28
"tcruzi-1493"	223.71	186.71
"tcruzi-1494"	375.68	341.72
"tcruzi-1495"	346.43	333.32
"tcruzi-1496"	401.24	287.34
"tcruzi-1969"	388.33	426.94
"tcruzi-2082"	72.44	71.7
"tcruzi-2759"	69.17	77.61
"tcruzi-2980"	52.72	54.53
"tcruzi-3292"	341.4	262.91
"tcruzi-4076"	39.04	48.77
"tcruzi-5424"	343.8	274.41
"tcruzi-6869"	134.24	215.65
"tcruzi-8451"	299.14	190.76
"tcruzi-8453"	1153.47	662.14
"tcruzi-8454"	1163.07	765.16
"tcruzi-8457"	629.87	296.64
"tcruzi-8460"	515.77	467.32
"tcruzi-8461"	652.49	527.72
"tcruzi-8497"	428.94	377.18
"tcruzi-11286"	108.97	104.02
"tcruzi-11494"	998.07	794.5
"tcruzi-11689"	251.41	249.74
"tcruzi-11690"	116.19	123
"tcruzi-11758"	466.16	301.75
