"Reporter Name"	"US_NE_rawData_r1"	"US_NE_rawData_r2"
"pos-controls-4796"	77.29	60.92
"pos-controls-4797"	101.5	109.31
"pos-controls-4798"	116.81	89.05
"pos-controls-4799"	101.08	91.59
"pos-controls-4800"	112.54	128.4
"pos-controls-4825"	923.51	854.71
"pos-controls-4826"	963.05	1030.89
"pos-controls-4827"	967.18	980.98
"pos-controls-4828"	953.16	1033.65
"pos-controls-4845"	262.13	151.31
"pos-controls-4846"	145.37	165.05
"pos-controls-4847"	194.87	147.92
"pos-controls-4848"	140.35	123.93
"pos-controls-4849"	64.58	52.69
"pos-controls-4850"	64.47	58.72
"pos-controls-4851"	73.11	59.67
"pos-controls-4852"	67.3	62.74
"pos-controls-4861"	104.71	108.05
"pos-controls-4862"	85.68	96.5
"pos-controls-4863"	89.14	88.09
"pos-controls-4864"	103.1	99.46
"pos-controls-4865"	134.3	119.32
"pos-controls-4866"	137.58	153.24
"pos-controls-4867"	148.92	141.62
"pos-controls-4868"	129.13	139.73
"pos-controls-4885"	204.36	160.88
"pos-controls-4886"	228.09	179.09
"pos-controls-4887"	204.37	174.13
"pos-controls-4888"	219.14	186.55
"pos-controls-4893"	69.7	57.29
"pos-controls-4894"	69.74	64.42
"pos-controls-4895"	67.61	47.39
"pos-controls-4896"	61.23	68.08
"pos-controls-4897"	59.98	118.27
"pos-controls-4898"	64.99	52.34
"pos-controls-4899"	68.23	54.05
"pos-controls-4900"	69.38	58.18
"pos-controls-4917"	116.2	108.69
"pos-controls-4918"	125.36	103.87
"pos-controls-4919"	143.94	132.53
"pos-controls-4920"	130.18	101.51
"pos-controls-4921"	86.56	83.54
"pos-controls-4922"	87.8	31.71
"pos-controls-4923"	86.04	133.76
"pos-controls-4924"	82.74	67.73
"pos-controls-4925"	110.04	120.61
"pos-controls-4926"	170.35	120.29
"pos-controls-4927"	132.88	120
"pos-controls-4928"	137.86	143.79
"pos-controls-4929"	221.44	200.45
"pos-controls-4930"	193.18	196.89
"pos-controls-4931"	170.94	184.27
"pos-controls-4932"	176.61	188.79
"pos-controls-4949"	79.14	75.52
"pos-controls-4950"	84.64	78.81
"pos-controls-4951"	72.55	67.4
"pos-controls-4952"	87.71	82.08
"pos-controls-4953"	129.55	137.29
"pos-controls-4954"	131.41	132.45
"pos-controls-4955"	121.17	118
"pos-controls-4956"	132.76	120.39
"pos-controls-5049"	141.56	150.61
"pos-controls-5050"	134.61	135.82
"pos-controls-5051"	149.07	115.69
"pos-controls-5052"	130.12	130.48
"pos-controls-5057"	78.68	63
"pos-controls-5058"	49.98	54.34
"pos-controls-5059"	47.3	56
"pos-controls-5060"	70.82	59.85
"pos-controls-5089"	380.27	304.16
"pos-controls-5090"	317.85	273.72
"pos-controls-5091"	299.52	299.54
"pos-controls-5092"	341.4	258.35
"pos-controls-5101"	718.25	711.99
"pos-controls-5102"	407.64	348.95
"pos-controls-5103"	692.08	502.27
"pos-controls-5104"	393.7	397.08
