"Reporter Name"	"MX_NE_rawData_r1"	"MX_NE_rawData_r2"
"pos-controls-4451"	114.31	146.71
"pos-controls-4452"	126.85	124.37
"pos-controls-4609"	63.92	101.02
"pos-controls-4610"	56.98	119.26
"pos-controls-4611"	61.6	95.08
"pos-controls-4612"	69.03	82.53
"pos-controls-4621"	61.43	77.22
"pos-controls-4622"	80.95	82.29
"pos-controls-4623"	70.25	84.57
"pos-controls-4624"	57.45	79.33
"pos-controls-4729"	109.21	187.29
"pos-controls-4730"	89.49	179.64
"pos-controls-4731"	89.53	161.46
"pos-controls-4732"	110.69	186.03
"pos-controls-4757"	92.77	98.87
"pos-controls-4758"	102.9	98.85
"pos-controls-4759"	83.81	83.42
"pos-controls-4760"	104.1	81.04
"pos-controls-4781"	55.64	100.57
"pos-controls-4782"	56.28	94.02
"pos-controls-4783"	60.59	79.03
"pos-controls-4784"	63.01	67.01
"pos-controls-4793"	65.05	135.27
"pos-controls-4794"	75.85	114.74
"pos-controls-4795"	73.97	150.46
"pos-controls-4796"	60.03	119.69
"pos-controls-4797"	97.35	116.61
"pos-controls-4798"	89.32	116.24
"pos-controls-4799"	94.62	118.7
"pos-controls-4800"	95.71	148.11
"pos-controls-4825"	128.78	203.62
"pos-controls-4826"	111.75	219.23
"pos-controls-4827"	110.38	162.35
"pos-controls-4828"	167.28	178.11
"pos-controls-4845"	70.51	101.39
"pos-controls-4846"	74.54	85.82
"pos-controls-4847"	87.29	116.28
"pos-controls-4848"	68.22	89.76
"pos-controls-4849"	52.7	85.73
"pos-controls-4850"	63.54	78.85
"pos-controls-4851"	64.61	104.09
"pos-controls-4852"	73.1	90.48
"pos-controls-4861"	112.45	99.26
"pos-controls-4862"	89.66	104.08
"pos-controls-4863"	101.7	98.86
"pos-controls-4864"	103.72	100.56
"pos-controls-4865"	137.77	154.99
"pos-controls-4866"	147.98	191.91
"pos-controls-4867"	144	163.75
"pos-controls-4868"	114.33	141.22
"pos-controls-4885"	123.59	290.3
"pos-controls-4886"	123.52	310.4
"pos-controls-4887"	127.26	306.22
"pos-controls-4888"	156.71	260.45
"pos-controls-4893"	76.93	123.93
"pos-controls-4894"	61.25	140
"pos-controls-4895"	71.25	98.48
"pos-controls-4896"	60.95	80.54
"pos-controls-4897"	72.67	112.53
"pos-controls-4898"	75.82	130.76
"pos-controls-4899"	65.86	134.44
"pos-controls-4900"	67.28	76.62
"pos-controls-4917"	74.23	87.11
"pos-controls-4918"	77.79	96.45
"pos-controls-4919"	72.62	68.46
"pos-controls-4920"	71.5	77.51
"pos-controls-4921"	60.29	79.88
"pos-controls-4922"	63.23	100.08
"pos-controls-4923"	61.08	75.63
"pos-controls-4924"	56.58	77.04
"pos-controls-4925"	123.35	103.24
"pos-controls-4926"	121.47	119.41
"pos-controls-4927"	156.55	111.07
"pos-controls-4928"	112.58	113.61
"pos-controls-4929"	218.14	228.23
"pos-controls-4930"	214.47	264.51
"pos-controls-4931"	211.13	191.6
"pos-controls-4932"	186.73	219.87
"pos-controls-4949"	84.3	105.31
"pos-controls-4950"	91.5	101.35
"pos-controls-4951"	77.77	109.77
"pos-controls-4952"	76.06	97.13
"pos-controls-4953"	96.8	112.9
"pos-controls-4954"	78.03	90.9
"pos-controls-4955"	71.68	110.33
"pos-controls-4956"	78.38	135.82
"pos-controls-5049"	159.1	137.64
"pos-controls-5050"	134.17	150.78
"pos-controls-5051"	138.95	131.79
"pos-controls-5052"	135.65	129.71
"pos-controls-5057"	63.3	80.83
"pos-controls-5058"	65.38	92.34
"pos-controls-5059"	58.88	95.96
"pos-controls-5060"	70.55	91.26
"pos-controls-5089"	170.46	157.58
"pos-controls-5090"	96.43	146.38
"pos-controls-5091"	82.49	289.73
"pos-controls-5092"	100.23	158.97
"pos-controls-5101"	82.29	117.63
"pos-controls-5102"	1875.89	113.82
"pos-controls-5103"	110.29	97.22
"pos-controls-5104"	135.51	120.58
"pos-controls-5149"	224.02	255.05
"pos-controls-5150"	254.2	322.03
"pos-controls-5151"	240.09	291.08
"pos-controls-5152"	194.7	209.96
"pos-controls-5257"	100.28	220.46
"pos-controls-5258"	110.4	245.74
"pos-controls-5259"	123.02	345.6
"pos-controls-5260"	126.7	243.89
"pos-controls-5261"	125.9	120.59
"pos-controls-5262"	125.88	136.05
"pos-controls-5263"	110.97	142.78
"pos-controls-5264"	116.54	117.6
"pos-controls-5313"	398.96	654.99
"pos-controls-5314"	316.31	529.06
"pos-controls-5315"	360.28	607.06
"pos-controls-5316"	415.92	584.87
"pos-controls-5401"	149.8	227.12
"pos-controls-5402"	169.69	203.52
"pos-controls-5403"	123.19	130.92
"pos-controls-5404"	111.49	164.53
"pos-controls-5465"	266.82	614.3
"pos-controls-5466"	262.95	395.27
"pos-controls-5467"	279.59	492.33
"pos-controls-5468"	295.33	478.03
"pos-controls-5469"	273.42	274.64
"pos-controls-5470"	345.28	268.12
"pos-controls-5471"	269.94	142.55
"pos-controls-5472"	314.71	176.21
"pos-controls-5481"	291.96	1476.32
"pos-controls-5482"	281.92	592
"pos-controls-5483"	406.93	1368.96
"pos-controls-5484"	522.06	676.42
"pos-controls-5485"	257.71	184.97
"pos-controls-5486"	335.78	145.26
"pos-controls-5487"	345.17	197.51
"pos-controls-5488"	325.08	247.3
"pos-controls-5549"	148.02	300.87
"pos-controls-5550"	142.95	339.88
"pos-controls-5551"	130.58	400.15
"pos-controls-5552"	131.84	320.75
"pos-controls-5565"	205.96	178.39
"pos-controls-5566"	151.05	127.58
"pos-controls-5567"	154.97	141.43
"pos-controls-5568"	148.04	135.6
"pos-controls-5577"	133.3	229.7
"pos-controls-5578"	161.09	214.7
"pos-controls-5579"	143.99	220.89
"pos-controls-5580"	139.19	192.93
