"Reporter Name"	"US_PO_rawData_r1"	"US_PO_rawData_r2"
"pos-controls-4612"	9955.62	9342.72
"pos-controls-4621"	92.01	92.76
"pos-controls-4622"	66.1	73.65
"pos-controls-4623"	82.62	153.56
"pos-controls-4624"	84.32	73.19
"pos-controls-4729"	4778.09	5171.06
"pos-controls-4730"	5125.36	5779.59
"pos-controls-4731"	5466.23	6071.58
"pos-controls-4732"	4661.48	5725.14
"pos-controls-4757"	73.41	70.56
"pos-controls-4758"	72.5	78.53
"pos-controls-4759"	73.02	80.18
"pos-controls-4760"	72.11	76.41
"pos-controls-4781"	73.95	94.79
"pos-controls-4782"	71.34	77.19
"pos-controls-4783"	58.71	62.81
"pos-controls-4784"	60.71	60.32
"pos-controls-4793"	6899.19	6574.74
"pos-controls-4794"	7503.42	6993.71
"pos-controls-4795"	8511.2	7492.92
"pos-controls-4796"	8407.42	7473.67
"pos-controls-4797"	80.06	94.41
"pos-controls-4798"	112.03	96.41
"pos-controls-4799"	89.7	93.65
"pos-controls-4800"	167.37	166.85
"pos-controls-4825"	35310.3	33007.68
"pos-controls-4826"	28425.08	26990.89
"pos-controls-4827"	33339.36	31437.06
"pos-controls-4828"	35014.17	32883.91
"pos-controls-4845"	116.17	108.95
"pos-controls-4846"	94.19	93.11
"pos-controls-4847"	92.11	101.33
"pos-controls-4848"	75.22	166.76
"pos-controls-4849"	54.31	61.22
"pos-controls-4850"	60.51	61.09
"pos-controls-4851"	57.9	59.36
"pos-controls-4852"	63.97	61.3
"pos-controls-4861"	150.72	137.02
"pos-controls-4862"	118.77	137.76
"pos-controls-4863"	112.92	136.83
"pos-controls-4864"	146.1	149.55
"pos-controls-4865"	139.96	155.71
"pos-controls-4866"	166.18	146.47
"pos-controls-4867"	161.27	166.74
"pos-controls-4868"	145.22	141.43
"pos-controls-4885"	548.96	531.03
"pos-controls-4886"	581.97	517.87
"pos-controls-4887"	622.34	588.02
"pos-controls-4888"	530.09	492.03
"pos-controls-4893"	72.74	75.77
"pos-controls-4894"	121.27	106.82
"pos-controls-4895"	81.43	87.1
"pos-controls-4896"	76.25	75.84
"pos-controls-4897"	67.74	63.91
"pos-controls-4898"	79.77	79.4
"pos-controls-4899"	67.86	61.54
"pos-controls-4900"	69.06	71.8
"pos-controls-4917"	70.53	56.28
"pos-controls-4918"	77.76	67.08
"pos-controls-4919"	66.55	72.94
"pos-controls-4920"	83.2	71.14
"pos-controls-4921"	54.15	65.74
"pos-controls-4922"	68.57	64.05
"pos-controls-4923"	59.39	58.54
"pos-controls-4924"	67.73	64.08
"pos-controls-4925"	166.37	199.79
"pos-controls-4926"	151.72	161.92
"pos-controls-4927"	145	215.29
"pos-controls-4928"	157.03	163.63
"pos-controls-4929"	230.65	229.66
"pos-controls-4930"	234.06	215.42
"pos-controls-4931"	191.85	205.14
"pos-controls-4932"	181.12	216.22
"pos-controls-4949"	483.01	414.22
"pos-controls-4950"	437.66	340.29
"pos-controls-4951"	412.23	502.15
"pos-controls-4952"	485.2	400.94
"pos-controls-4953"	90.94	53.37
"pos-controls-4954"	80.57	66.94
"pos-controls-4955"	78.54	100.22
"pos-controls-4956"	90.18	88.7
"pos-controls-5049"	199.19	206.36
"pos-controls-5050"	182.07	156.57
"pos-controls-5051"	169.54	211.28
"pos-controls-5052"	168.75	173.55
"pos-controls-5057"	77.93	59.52
"pos-controls-5058"	90.52	131.93
"pos-controls-5059"	80.26	65.36
"pos-controls-5060"	70.83	63.8
"pos-controls-5089"	9374.13	9143.61
"pos-controls-5090"	9398.6	10187.19
"pos-controls-5091"	9665.26	10450.21
"pos-controls-5092"	9028.79	9871.52
"pos-controls-5101"	1082.88	1224.56
"pos-controls-5102"	1017.99	1159.87
"pos-controls-5103"	2301.64	2309.95
"pos-controls-5104"	1364.72	1519.64
"pos-controls-5149"	79.74	73.78
"pos-controls-5150"	71.07	74.45
"pos-controls-5151"	69.83	97.39
"pos-controls-5152"	67.85	66.32
"pos-controls-5257"	6615.78	6582.66
"pos-controls-5258"	6041.65	4466.86
"pos-controls-5259"	6974.62	6480.02
"pos-controls-5260"	6010.53	6463.76
"pos-controls-5261"	99.58	99.1
"pos-controls-5262"	81.42	75.5
"pos-controls-5263"	76.09	87.27
"pos-controls-5264"	79.1	63.5
"pos-controls-5313"	2581.25	2108.74
"pos-controls-5314"	2091.24	2070.24
"pos-controls-5315"	2208.62	1976.82
"pos-controls-5316"	2161.02	2044.99
"pos-controls-5401"	674.64	698.8
"pos-controls-5402"	622.82	544.82
"pos-controls-5403"	718.03	486.42
"pos-controls-5404"	572.57	657.39
"pos-controls-5465"	1058.25	1052.12
"pos-controls-5466"	1008.8	825
"pos-controls-5467"	1136.35	1091.12
"pos-controls-5468"	1057.76	946.91
"pos-controls-5469"	4853.53	2420.02
"pos-controls-5470"	4864.65	4687.4
"pos-controls-5471"	5326.48	4373.27
"pos-controls-5472"	6559.36	6188.77
"pos-controls-5481"	407.35	348.36
"pos-controls-5482"	281.67	239.09
"pos-controls-5483"	368.16	317.41
"pos-controls-5484"	383.8	314.87
"pos-controls-5485"	7071.16	6085.47
"pos-controls-5486"	4597.74	5078.95
"pos-controls-5487"	6018.85	5253.97
"pos-controls-5488"	4700.64	4147.43
"pos-controls-5549"	28052.16	23986.7
"pos-controls-5550"	29624.51	30708.41
"pos-controls-5551"	26690.79	26389.52
"pos-controls-5552"	28295.94	26124.79
"pos-controls-5565"	9532.7	9969.81
"pos-controls-5566"	7891.28	8570.08
"pos-controls-5567"	9758.55	9286.89
"pos-controls-5568"	8000.29	7863.81
"pos-controls-5577"	174.91	152.51
"pos-controls-5578"	199.24	149.01
"pos-controls-5579"	181.55	158.26
"pos-controls-5580"	178.57	336.06
"pos-controls-5581"	187.36	175.15
"pos-controls-5582"	283.17	283.84
"pos-controls-5583"	207.94	191.7
"pos-controls-5584"	191.41	179.87
"pos-controls-5613"	433.6	339.82
"pos-controls-5614"	623.02	483.37
"pos-controls-5615"	426.95	293.08
"pos-controls-5616"	291.1	203.12
"pos-controls-5617"	42571.72	41352.72
"pos-controls-5618"	43140.9	42170.24
"pos-controls-5619"	41677.43	41850.17
"pos-controls-5620"	41741.56	40825.16
"pos-controls-5753"	93.5	96.37
"pos-controls-5754"	110.83	92.77
"pos-controls-5755"	83.8	94.4
"pos-controls-5756"	86.59	88.55
"pos-controls-5781"	71.96	76.59
"pos-controls-5782"	89.7	84.2
"pos-controls-5783"	81.01	78.83
"pos-controls-5784"	88.67	83.24
"pos-controls-5785"	66.53	319.8
"pos-controls-5786"	62.56	66.91
"pos-controls-5787"	56.72	61.23
"pos-controls-5788"	73.31	63.08
"pos-controls-5845"	78.23	70.84
"pos-controls-5846"	84.01	77.5
"pos-controls-5847"	68.17	66.97
"pos-controls-5848"	124.08	145.41
"pos-controls-5869"	177.06	177.09
"pos-controls-5870"	163.56	160.27
"pos-controls-5871"	172.9	183.41
"pos-controls-5872"	169.67	161.08
"pos-controls-5925"	41508.91	35730.8
"pos-controls-5926"	38599.1	37112.96
"pos-controls-5927"	37111.77	38189.89
"pos-controls-5928"	38229.29	35416.34
"pos-controls-5965"	99.03	117.54
"pos-controls-5966"	89.09	111.49
"pos-controls-5967"	99.27	90.12
"pos-controls-5968"	108.38	87.07
"pos-controls-5969"	94.91	81.96
"pos-controls-5970"	69.96	71.23
"pos-controls-5971"	67.13	72
"pos-controls-5972"	81.35	80.21
"pos-controls-5993"	161.35	184.61
"pos-controls-5994"	180.01	164.55
"pos-controls-5995"	226.95	235.29
"pos-controls-5996"	171.23	165.1
"pos-controls-5997"	76	87.6
"pos-controls-5998"	64.48	68.12
"pos-controls-5999"	62.9	74.65
"pos-controls-6000"	75.37	75.87
"pos-controls-6029"	236.07	224.29
"pos-controls-6030"	206.76	213.84
"pos-controls-6031"	216.4	251.84
"pos-controls-6032"	219.78	171.8
"pos-controls-6097"	42552.01	38102.07
"pos-controls-6098"	40922.63	46073.14
"pos-controls-6099"	42840.8	42968.22
"pos-controls-6100"	39793.47	45631.41
"pos-controls-6109"	77.2	92.33
"pos-controls-6110"	64.4	58.87
"pos-controls-6111"	56.6	58.16
"pos-controls-6112"	58.01	56.63
"pos-controls-6149"	172.77	139.69
"pos-controls-6150"	340.7	296.53
"pos-controls-6151"	127.39	240.64
"pos-controls-6152"	323.09	153.91
"pos-controls-6221"	4873.31	5125.01
"pos-controls-6222"	4559.35	4716.86
"pos-controls-6223"	5678.45	5751.07
"pos-controls-6224"	5685.61	5449.09
"pos-controls-6225"	17127.14	16178.68
"pos-controls-6226"	17522.9	15557.77
"pos-controls-6227"	19002.98	18798.13
"pos-controls-6228"	16836.63	17573.35
"pos-controls-6249"	6701.33	6289.27
"pos-controls-6250"	6996.64	6688.78
"pos-controls-6251"	6961.99	6762.74
"pos-controls-6252"	5643.36	5447.16
"pos-controls-6273"	20028.57	20762.48
"pos-controls-6274"	19678.51	19093.15
"pos-controls-6275"	19200.87	19424.87
"pos-controls-6276"	16980.06	20532.26
"pos-controls-6333"	136.14	187.32
"pos-controls-6334"	441.9	203.04
"pos-controls-6335"	161.91	151.74
"pos-controls-6336"	200.82	128.54
"pos-controls-6341"	119.22	120.65
"pos-controls-6342"	106.14	124.85
"pos-controls-6343"	127.66	88.22
