"Reporter Name"	"LE_PO_normalizedData_r1"	"LE_PO_normalizedData_r2"
"pos-controls-5059"	100.21	98.77
"pos-controls-5060"	95.24	115.73
"pos-controls-5089"	236.15	459.26
"pos-controls-5090"	528.07	766.73
"pos-controls-5091"	499.56	671.91
"pos-controls-5092"	190.48	277.58
"pos-controls-5101"	99.51	88.57
"pos-controls-5102"	97.92	95.85
"pos-controls-5103"	110.17	105.98
"pos-controls-5104"	106.34	100.66
"pos-controls-5149"	74.75	83.16
"pos-controls-5150"	79.71	97.46
"pos-controls-5151"	66.74	113.93
"pos-controls-5152"	77.38	80.19
"pos-controls-5257"	141.44	141.15
"pos-controls-5258"	170.59	160.49
"pos-controls-5259"	155.82	181.91
"pos-controls-5260"	159.93	217.08
"pos-controls-5261"	76.19	75.63
"pos-controls-5262"	75.2	80.71
"pos-controls-5263"	74.86	58.39
"pos-controls-5264"	71.71	83.4
"pos-controls-5313"	186.99	235.72
"pos-controls-5314"	235.72	198.2
"pos-controls-5315"	167.96	151.81
"pos-controls-5316"	186.01	166.71
"pos-controls-537"	152.34	145.96
"pos-controls-538"	126.88	155.39
"pos-controls-539"	163.84	126.92
"pos-controls-540"	160.95	171.2
"pos-controls-5401"	99.03	94.74
"pos-controls-5402"	104.01	95.29
"pos-controls-5403"	124.05	123.66
"pos-controls-5404"	96.46	97.17
"pos-controls-541"	139.2	99.2
"pos-controls-542"	132.1	134.88
"pos-controls-543"	134.63	84.47
"pos-controls-544"	120.86	134.3
"pos-controls-5465"	216.53	272.79
"pos-controls-5466"	418.36	239.44
"pos-controls-5467"	234.61	260.89
"pos-controls-5468"	201.6	234.61
"pos-controls-5469"	183.22	176.88
"pos-controls-5470"	248.04	301.71
"pos-controls-5471"	208.14	188.36
"pos-controls-5472"	242.41	225.88
"pos-controls-5481"	411.78	371.65
"pos-controls-5482"	403.22	344.56
"pos-controls-5483"	312.24	372.32
"pos-controls-5484"	290.19	378.7
"pos-controls-5485"	162.56	146.78
"pos-controls-5486"	147.42	140.64
"pos-controls-5487"	173.21	150.4
"pos-controls-5488"	185.82	105.17
"pos-controls-5549"	123.76	209.58
"pos-controls-5550"	194.66	237.91
"pos-controls-5551"	219.26	238.25
"pos-controls-5552"	241.98	194.2
"pos-controls-5565"	254.83	246.5
"pos-controls-5566"	269.23	166.05
"pos-controls-5567"	218.04	216.93
"pos-controls-5568"	253.81	173.45
"pos-controls-5577"	125.3	93.62
"pos-controls-5578"	117.02	89.34
"pos-controls-5579"	125.18	101.2
"pos-controls-5580"	107.54	125.26
"pos-controls-5581"	118.21	153.28
"pos-controls-5582"	151.63	99.84
"pos-controls-5583"	115.16	253.38
"pos-controls-5584"	137.41	133.89
"pos-controls-5613"	578.86	645.59
"pos-controls-5614"	521.72	528.07
"pos-controls-5615"	481.64	444.67
"pos-controls-5616"	510.21	732.04
"pos-controls-5617"	112.1	63.89
"pos-controls-5618"	95.85	79.58
"pos-controls-5619"	113.21	98.72
"pos-controls-5620"	128.32	100.34
"pos-controls-5753"	107.48	132.5
"pos-controls-5754"	118.87	118.6
"pos-controls-5755"	117.18	127.65
"pos-controls-5756"	107.37	124.43
"pos-controls-5781"	78.12	67.62
"pos-controls-5782"	76.69	82.01
"pos-controls-5783"	73.87	76.15
"pos-controls-5784"	85.22	79.06
"pos-controls-5785"	69.74	51.57
"pos-controls-5786"	88.75	71.16
"pos-controls-5787"	72.45	54.31
"pos-controls-5788"	76.25	66.48
"pos-controls-5845"	146.55	104.61
"pos-controls-5846"	88.46	141.96
"pos-controls-5847"	103.81	101.92
"pos-controls-5848"	98.05	116.29
"pos-controls-5869"	266.97	210.37
"pos-controls-5870"	223.37	254.34
"pos-controls-5871"	225.46	175.22
"pos-controls-5872"	187.58	247.41
"pos-controls-5925"	145.1	101.87
"pos-controls-5926"	103.91	109.64
"pos-controls-5927"	118.63	108.32
"pos-controls-5928"	140.92	121.92
"pos-controls-5965"	87.14	79.16
"pos-controls-5966"	70.81	71.47
"pos-controls-5967"	74.4	66.68
"pos-controls-5968"	67.85	74.82
"pos-controls-5969"	80.87	179.14
"pos-controls-5970"	75.29	70.44
"pos-controls-5971"	80.35	77.73
"pos-controls-5972"	114.68	92.5
"pos-controls-5993"	165.47	147.11
"pos-controls-5994"	131.23	101.99
"pos-controls-5995"	127.01	119.77
"pos-controls-5996"	158.37	100.15
"pos-controls-5997"	120.01	144.19
"pos-controls-5998"	130.66	158.24
"pos-controls-5999"	140.49	133.03
"pos-controls-6000"	129.55	128.43
"pos-controls-6029"	188.73	153.9
"pos-controls-6030"	163.22	114.48
"pos-controls-6031"	154.55	163.26
"pos-controls-6032"	166.54	105.72
"pos-controls-6097"	232.11	218.04
"pos-controls-6098"	289.65	248.04
"pos-controls-6099"	275.25	180.54
"pos-controls-6100"	342	217.32
"pos-controls-6109"	102.02	113.47
"pos-controls-6110"	113.38	102.95
"pos-controls-6111"	102.61	107.9
"pos-controls-6112"	111.86	99.31
"pos-controls-613"	88.65	105.25
"pos-controls-614"	95.6	93.99
"pos-controls-6149"	92.91	102.21
"pos-controls-615"	121.23	84.93
"pos-controls-6150"	80.95	82.62
"pos-controls-6151"	85.09	70.51
"pos-controls-6152"	80.58	79.92
"pos-controls-616"	95.15	83.9
"pos-controls-6221"	126.62	116.03
"pos-controls-6222"	173.97	141.34
"pos-controls-6223"	136.74	92.76
"pos-controls-6224"	132.37	160.72
"pos-controls-6225"	250.55	260.14
"pos-controls-6226"	198	226.14
"pos-controls-6227"	197.7	264.12
"pos-controls-6228"	179.8	232.11
"pos-controls-6249"	207.69	138.4
"pos-controls-6250"	143.35	182.58
"pos-controls-6251"	196.51	204.87
"pos-controls-6252"	157.24	125.18
"pos-controls-6273"	3097.28	2636.44
"pos-controls-6274"	2416.18	2168.93
"pos-controls-6275"	3182.74	2416.18
"pos-controls-6276"	2740.19	2352.84
"pos-controls-6333"	88.41	85.69
"pos-controls-6334"	115.6	98.25
"pos-controls-6335"	103.59	103.4
"pos-controls-6336"	107.17	89.62
"pos-controls-6341"	99.31	87.68
"pos-controls-6342"	103.67	99.89
"pos-controls-6343"	84.15	76.19
"pos-controls-6344"	82.67	86.24
"pos-controls-6345"	131.39	124.92
"pos-controls-6346"	175.85	118.87
"pos-controls-6347"	126.53	118.73
"pos-controls-6348"	128.94	129.14
"pos-controls-6457"	152.45	191.51
"pos-controls-6458"	158.78	109.44
"pos-controls-6459"	144.69	121.69
"pos-controls-6460"	143.28	135.42
"pos-controls-6461"	72.98	72.26
"pos-controls-6462"	75.46	67.03
"pos-controls-6463"	73.21	72.98
"pos-controls-6464"	65.65	70.63
"pos-controls-6465"	176.3	198.68
"pos-controls-6466"	166.8	178.05
"pos-controls-6467"	183.36	191.65
"pos-controls-6468"	205.03	156.6
"pos-controls-6469"	83.74	80.87
"pos-controls-6470"	84.39	87.89
"pos-controls-6471"	88.03	77.12
"pos-controls-6472"	85.3	83.21
"pos-controls-6509"	251.13	272.46
"pos-controls-6510"	189.04	391.57
"pos-controls-6511"	473.75	662.58
"pos-controls-6512"	619.45	799.62
"pos-controls-6529"	235.97	200.5
"pos-controls-6530"	189.9	175.55
"pos-controls-6531"	226.84	197.5
"pos-controls-6532"	253.38	149.06
"pos-controls-705"	159.83	100.21
"pos-controls-706"	147.59	138.51
"pos-controls-707"	111.55	133.81
"pos-controls-708"	119.33	135.97
"pos-controls-773"	372.32	398.44
"pos-controls-774"	431.92	486.42
"pos-controls-775"	461.3	658.81
"pos-controls-776"	626.8	810.37
"pos-controls-777"	311.87	292.89
"pos-controls-778"	290.81	231.85
"pos-controls-779"	280.85	259.63
"pos-controls-780"	574.66	280.85
"pos-controls-813"	101.39	107.6
"pos-controls-814"	109.54	108.15
"pos-controls-815"	95.92	97.41
"pos-controls-816"	91.66	75.75
"pos-controls-829"	175.32	182.38
"pos-controls-830"	158.96	145.78
"pos-controls-831"	176.99	155.82
"pos-controls-832"	183.62	179.95
"pos-controls-893"	86.97	111.27
"pos-controls-894"	121.37	137.49
"pos-controls-895"	107.86	113.24
"pos-controls-896"	92.76	87.73
"pos-controls-949"	149.24	392.36
"pos-controls-950"	404.26	500.85
"pos-controls-951"	255.12	383.91
"pos-controls-952"	337.77	381.96
"pos-controls-953"	95.4	100.51
"pos-controls-954"	96.41	96.21
"pos-controls-955"	91.9	89.99
"pos-controls-956"	95.71	84.15
"tcruzi-1000738"	165.94	148.52
"tcruzi-1001695"	772.35	577.65
"tcruzi-1001711"	89	69.74
"tcruzi-100230"	147.72	160.04
"tcruzi-1004100"	170.83	127.88
"tcruzi-100430"	157.41	168.25
"tcruzi-1005046"	116.57	130.62
"tcruzi-1005067"	130.75	163
"tcruzi-1005305"	169.15	166.8
"tcruzi-1005482"	102.89	90.63
"tcruzi-1007326"	77.98	80.52
"tcruzi-1007826"	83.78	80.35
"tcruzi-1007853"	73.29	82.47
"tcruzi-1008370"	63.82	62.75
"tcruzi-100869"	730.3	517.18
"tcruzi-1010241"	197.12	351.98
"tcruzi-1010971"	117.98	128.39
"tcruzi-101139"	270.04	365.19
"tcruzi-1011528"	122.65	136.6
"tcruzi-1014035"	88.79	67.85
"tcruzi-1014467"	98.93	94.56
"tcruzi-1014513"	74.8	81.92
"tcruzi-1016586"	58.01	44.93
"tcruzi-1017121"	133.59	161.02
"tcruzi-1017825"	77.08	70.19
"tcruzi-1019097"	201.07	149.44
"tcruzi-1020644"	135.85	130.01
"tcruzi-102076"	3572.73	2830.6
"tcruzi-1022489"	153.8	174.74
"tcruzi-1023491"	169.65	239.18
"tcruzi-1023539"	199.89	231.57
"tcruzi-1024789"	118.73	106.91
"tcruzi-1025150"	335.71	430.41
"tcruzi-1025367"	671.91	465.53
"tcruzi-1025720"	150.77	163.08
"tcruzi-1025721"	147.33	183.06
"tcruzi-1026307"	2131.06	2031.28
"tcruzi-1026309"	1913.24	1492.91
"tcruzi-1026310"	899.68	985.18
"tcruzi-1026311"	1163.33	794.75
"tcruzi-1026312"	2797.8	2545.87
"tcruzi-1026317"	587.17	368.94
"tcruzi-1027797"	135.11	143.21
"tcruzi-1028387"	96.95	79.37
"tcruzi-1028589"	113.58	145.57
"tcruzi-1028592"	468.14	250.55
"tcruzi-1028593"	177.58	189.47
"tcruzi-1028596"	171.6	156.84
"tcruzi-102951"	782.85	418.36
"tcruzi-1029730"	806.61	718.83
"tcruzi-102996"	44.2	48.5
"tcruzi-1030119"	2352.84	2520
"tcruzi-1030161"	101.87	65.76
"tcruzi-1031344"	234.84	266.97
"tcruzi-1032192"	168.25	327.55
"tcruzi-1032967"	591.74	943.61
"tcruzi-1034083"	93.25	125.77
"tcruzi-1035077"	615.91	688.1
"tcruzi-1035078"	650.32	561.05
"tcruzi-1035080"	139.91	136.53
"tcruzi-1035095"	44.65	57.67
"tcruzi-1035330"	282.22	347.83
"tcruzi-1035452"	94.99	89.73
"tcruzi-1035831"	1842.78	2045.32
"tcruzi-1036424"	225.15	241.01
"tcruzi-1036899"	605.34	455.7
"tcruzi-1037510"	58.21	67.23
"tcruzi-1038739"	219.92	283.15
"tcruzi-1039442"	137.82	110.37
"tcruzi-1039443"	88.24	84.29
"tcruzi-1040693"	139.12	100.45
"tcruzi-1040731"	303.64	425.09
"tcruzi-1041302"	205.75	233.83
"tcruzi-1041708"	1059.1	1172.39
"tcruzi-1041867"	78.87	98.32
"tcruzi-1042509"	94.99	71.56
"tcruzi-1043101"	702.83	720.56
"tcruzi-1043105"	425.09	452.96
"tcruzi-1043430"	99.66	112.74
"tcruzi-1043597"	83.28	82.29
"tcruzi-104363"	2486.84	2118.56
"tcruzi-1045857"	83.86	73.13
"tcruzi-1047130"	470.93	452.26
"tcruzi-1047131"	1079.56	1228.51
"tcruzi-1047216"	79.78	73.38
"tcruzi-1048656"	67.68	73.23
"tcruzi-104933"	104.84	113.7
"tcruzi-1049456"	568.21	507.46
"tcruzi-1049457"	335.06	292.02
"tcruzi-1049459"	135.74	154.43
"tcruzi-1049460"	151.09	143.41
"tcruzi-1049681"	90.06	83.28
"tcruzi-1050192"	1991.2	1210.59
