"Reporter Name"	"US_NE_normalizedData_r1"	"US_NE_normalizedData_r2"
"pos-controls-4851"	87.84	74.9
"pos-controls-4852"	80.26	78.87
"pos-controls-4861"	134.02	144.08
"pos-controls-4862"	104.58	126.53
"pos-controls-4863"	108.98	113.97
"pos-controls-4864"	130.66	130.97
"pos-controls-4865"	171.2	157.94
"pos-controls-4866"	176.74	207.62
"pos-controls-4867"	191.86	187.28
"pos-controls-4868"	163.76	183.89
"pos-controls-4885"	264.12	219.8
"pos-controls-4886"	293.44	248.61
"pos-controls-4887"	264.39	239.72
"pos-controls-4888"	282.22	257.35
"pos-controls-4893"	83.07	72.21
"pos-controls-4894"	83.22	81.09
"pos-controls-4895"	80.54	58.96
"pos-controls-4896"	73.64	85.67
"pos-controls-4897"	72.17	156.11
"pos-controls-4898"	78.19	65.96
"pos-controls-4899"	81.12	68.13
"pos-controls-4900"	82.62	73.26
"pos-controls-4917"	147.11	144.83
"pos-controls-4918"	158.56	137.6
"pos-controls-4919"	185.3	175.55
"pos-controls-4920"	165.47	134.5
"pos-controls-4921"	105.84	107.09
"pos-controls-4922"	107.09	34.33
"pos-controls-4923"	105.03	176.88
"pos-controls-4924"	99.43	85.3
"pos-controls-4925"	140.64	160.11
"pos-controls-4926"	222.52	159.83
"pos-controls-4927"	169.31	159.37
"pos-controls-4928"	177.12	189.9
"pos-controls-4929"	285.87	277.76
"pos-controls-4930"	249.24	271.68
"pos-controls-4931"	223.59	254.83
"pos-controls-4932"	228.34	260.89
"pos-controls-4949"	95.43	96.31
"pos-controls-4950"	102.87	100.69
"pos-controls-4951"	86.83	84.9
"pos-controls-4952"	106.98	104.99
"pos-controls-4953"	164.27	181.48
"pos-controls-4954"	167.69	175.27
"pos-controls-4955"	153.21	155.82
"pos-controls-4956"	169.15	159.93
"pos-controls-5049"	182.58	202.48
"pos-controls-5050"	171.38	179.3
"pos-controls-5051"	192.23	153.39
"pos-controls-5052"	165.22	172.81
"pos-controls-5057"	94.73	79.25
"pos-controls-5058"	60.71	68.6
"pos-controls-5059"	56.9	70.65
"pos-controls-5060"	84.53	75.23
"pos-controls-5089"	435.01	383.91
"pos-controls-5090"	376.35	353.19
"pos-controls-5091"	360.21	377.67
"pos-controls-5092"	397.21	340.8
"pos-controls-5101"	821.09	869.63
"pos-controls-5102"	468.14	426.5
"pos-controls-5103"	789.44	619.45
"pos-controls-5104"	452.26	485.12
"pos-controls-5149"	143.68	135.58
"pos-controls-5150"	172.58	142.08
"pos-controls-5151"	199.82	179.51
"pos-controls-5152"	135.58	120.12
"pos-controls-5257"	120.24	161.19
"pos-controls-5258"	168.92	168.1
"pos-controls-5259"	155.91	160.64
"pos-controls-5260"	129.4	133.51
"pos-controls-5261"	183.62	226.34
"pos-controls-5262"	205.03	270.77
"pos-controls-5263"	193.55	240.44
"pos-controls-5264"	208.26	232.59
"pos-controls-5313"	1041.43	1026.15
"pos-controls-5314"	1067.23	1145.08
"pos-controls-5315"	927.04	810.37
"pos-controls-5316"	1026.15	920.98
"pos-controls-537"	86.49	102.1
"pos-controls-538"	113.9	83.07
"pos-controls-539"	85.62	109.19
"pos-controls-540"	109.88	120.86
"pos-controls-5401"	170.23	125.3
"pos-controls-5402"	159.01	155.15
"pos-controls-5403"	151.81	123.61
"pos-controls-5404"	168.36	170.69
"pos-controls-541"	316.69	192.56
"pos-controls-542"	180.54	177.12
"pos-controls-543"	219.26	224.79
"pos-controls-544"	176.11	175.71
"pos-controls-5465"	170.52	136.03
"pos-controls-5466"	163.6	148.7
"pos-controls-5467"	212.4	168.8
"pos-controls-5468"	226.64	172.69
"pos-controls-5469"	192.4	178.19
"pos-controls-5470"	98.81	158.96
"pos-controls-5471"	154.43	206.65
"pos-controls-5472"	215.97	188.73
"pos-controls-5481"	205.56	208.8
"pos-controls-5482"	200.6	211.39
"pos-controls-5483"	225.46	223.99
"pos-controls-5484"	229.71	198.96
"pos-controls-5485"	231.85	233.83
"pos-controls-5486"	194.5	220.63
"pos-controls-5487"	280.19	262.43
"pos-controls-5488"	260.72	240.03
"pos-controls-5549"	174.57	140.33
"pos-controls-5550"	190.4	142.55
"pos-controls-5551"	113.85	174.34
"pos-controls-5552"	113.14	134.94
"pos-controls-5565"	167.39	171.2
"pos-controls-5566"	152.59	170.03
"pos-controls-5567"	185.44	271.45
"pos-controls-5568"	218.55	213.61
"pos-controls-5577"	155.5	217.08
"pos-controls-5578"	246.78	169.55
"pos-controls-5579"	216.93	198
"pos-controls-5580"	191.51	106.83
"pos-controls-5581"	276.69	198.68
"pos-controls-5582"	231.08	245.48
"pos-controls-5583"	237.91	238.25
"pos-controls-5584"	279.6	258.17
"pos-controls-5613"	263.78	215.23
"pos-controls-5614"	252.54	181.73
"pos-controls-5615"	235.45	191.02
"pos-controls-5616"	205.99	159.01
"pos-controls-5617"	243.51	108.93
"pos-controls-5618"	100.53	121.37
"pos-controls-5619"	119.66	127.79
"pos-controls-5620"	134.41	125.36
"pos-controls-5753"	57.1	73.62
"pos-controls-5754"	70.18	74.1
"pos-controls-5755"	85.06	73.01
"pos-controls-5756"	78.96	82.05
"pos-controls-5781"	90.19	88.65
"pos-controls-5782"	84.02	72.6
"pos-controls-5783"	80.84	80.87
"pos-controls-5784"	94.4	71.5
"pos-controls-5785"	60.23	56.39
"pos-controls-5786"	59.9	61.53
"pos-controls-5787"	59.74	67.31
"pos-controls-5788"	68.77	69.62
"pos-controls-5845"	70.48	81.44
"pos-controls-5846"	156.94	82.83
"pos-controls-5847"	81.09	72.76
"pos-controls-5848"	70.99	73.82
"pos-controls-5869"	240.03	197.27
"pos-controls-5870"	206.85	221.04
"pos-controls-5871"	234.12	184.34
"pos-controls-5872"	299.54	231.36
"pos-controls-5925"	109.38	134.02
"pos-controls-5926"	165.94	120.24
"pos-controls-5927"	114.14	138.93
"pos-controls-5928"	178.73	165.88
"pos-controls-5965"	63.8	88.92
"pos-controls-5966"	72.08	89.62
"pos-controls-5967"	96.68	86.11
"pos-controls-5968"	115.42	87.03
"pos-controls-5969"	75.04	97.31
"pos-controls-5970"	99.03	92.67
"pos-controls-5971"	98.25	81.41
"pos-controls-5972"	77.55	83.84
"pos-controls-5993"	140.82	173.1
"pos-controls-5994"	219.45	174.63
"pos-controls-5995"	179.67	189.35
"pos-controls-5996"	207.54	226.64
"pos-controls-5997"	111.24	112.95
"pos-controls-5998"	123.99	100.09
"pos-controls-5999"	94.79	113.53
"pos-controls-6000"	79.29	122.28
"pos-controls-6029"	259.21	288.84
"pos-controls-6030"	266.97	267.82
"pos-controls-6031"	300.45	255.12
"pos-controls-6032"	255.86	276.69
"pos-controls-6097"	187.58	181.12
"pos-controls-6098"	203.66	172
"pos-controls-6099"	87.29	147.42
"pos-controls-6100"	165.57	143
"pos-controls-6109"	109.7	100.89
"pos-controls-6110"	93.45	71.07
"pos-controls-6111"	90.49	112.14
"pos-controls-6112"	89.4	86.04
"pos-controls-613"	82.76	90.98
"pos-controls-614"	71.75	66.03
"pos-controls-6149"	92.72	90.91
"pos-controls-615"	93.3	93.15
"pos-controls-6150"	94.29	81.01
"pos-controls-6151"	91.1	94.13
"pos-controls-6152"	107.83	86.38
"pos-controls-616"	88.37	89.05
"pos-controls-6221"	223.99	157.83
"pos-controls-6222"	209.88	292.89
"pos-controls-6223"	250.05	215.39
"pos-controls-6224"	235.97	230.05
"pos-controls-6225"	234.84	225.88
"pos-controls-6226"	225.15	234.36
"pos-controls-6227"	260.72	274.46
"pos-controls-6228"	161.74	209.16
"pos-controls-6249"	211.06	173.65
"pos-controls-6250"	186.39	155.71
"pos-controls-6251"	205.32	205.75
"pos-controls-6252"	159.83	146.48
"pos-controls-6273"	79.84	72.53
"pos-controls-6274"	81.83	87.92
"pos-controls-6275"	93.57	84.19
"pos-controls-6276"	76.73	84.64
"pos-controls-6333"	640.4	383.34
"pos-controls-6334"	458.29	381.21
"pos-controls-6335"	564.68	550.32
"pos-controls-6336"	557.79	528.07
"pos-controls-6341"	105.72	111.96
"pos-controls-6342"	111.14	121.09
"pos-controls-6343"	84.27	133.51
"pos-controls-6344"	126.48	100.12
"pos-controls-6345"	308.87	321.49
"pos-controls-6346"	258.29	397.78
"pos-controls-6347"	293.95	337.3
"pos-controls-6348"	308.09	283.15
"pos-controls-6457"	128.75	116.55
"pos-controls-6458"	72.25	92.4
"pos-controls-6459"	84.32	74.86
"pos-controls-6460"	117.62	94.29
"pos-controls-6461"	166.1	68.64
"pos-controls-6462"	92.24	72.67
"pos-controls-6463"	83.97	88.75
"pos-controls-6464"	61.12	64.85
"pos-controls-6465"	122.68	138.51
"pos-controls-6466"	121.4	111.55
"pos-controls-6467"	129.3	138.93
"pos-controls-6468"	166.24	105.98
"pos-controls-6469"	151.24	168.63
"pos-controls-6470"	180.33	186.19
"pos-controls-6471"	166.1	188.59
"pos-controls-6472"	138.61	134.3
"pos-controls-6509"	1380.69	1445.77
"pos-controls-6510"	1395.54	1571.34
"pos-controls-6511"	1558.03	1811.05
"pos-controls-6512"	1344.02	1463.91
"pos-controls-6529"	1952.13	1952.13
"pos-controls-6530"	1794.11	1584.89
"pos-controls-6531"	1876.36	1695.51
"pos-controls-6532"	1681.72	2146.45
"pos-controls-705"	197.27	225.65
"pos-controls-706"	160.81	184.13
"pos-controls-707"	156.06	153.8
"pos-controls-708"	164.76	214.2
"pos-controls-773"	202.31	196.03
"pos-controls-774"	244.92	172.14
"pos-controls-775"	273.71	235.97
"pos-controls-776"	209.58	207.05
"pos-controls-777"	233.83	223.59
"pos-controls-778"	198	222.29
"pos-controls-779"	233.59	193.77
"pos-controls-780"	209.16	187.58
"pos-controls-813"	61.95	97.26
"pos-controls-814"	64.07	71.46
"pos-controls-815"	93.96	87.61
"pos-controls-816"	65.76	76.9
"pos-controls-829"	387.23	320.34
"pos-controls-830"	656.62	573.2
"pos-controls-831"	248.27	317.57
"pos-controls-832"	389.21	480.45
"pos-controls-893"	104.27	77.12
"pos-controls-894"	80.91	72.26
"pos-controls-895"	82.33	72.82
"pos-controls-896"	103.42	83.7
"pos-controls-949"	447.99	525.53
"pos-controls-950"	426.94	407.89
"pos-controls-951"	410.83	417.63
"pos-controls-952"	480.45	467.06
"pos-controls-953"	107.37	103.49
"pos-controls-954"	178.05	104.24
"pos-controls-955"	104.08	107.12
"pos-controls-956"	88.42	92.09
"tcruzi-1000738"	75.33	83.45
"tcruzi-1001695"	806.61	576.74
"tcruzi-1001711"	67.88	74.6
"tcruzi-100230"	100.66	127.88
"tcruzi-1004100"	99.2	130.85
"tcruzi-100430"	80.19	90.86
"tcruzi-1005046"	116.09	88.86
"tcruzi-1005067"	105.94	87.78
"tcruzi-1005305"	219.02	214.84
"tcruzi-1005482"	95.52	79.78
"tcruzi-1007326"	128.32	109.09
"tcruzi-1007826"	83.5	94.92
"tcruzi-1007853"	118.54	107.6
"tcruzi-1008370"	66.76	57.69
"tcruzi-100869"	3753.96	3572.73
"tcruzi-1010241"	622.94	561.05
"tcruzi-1010971"	113.78	117.02
"tcruzi-101139"	210.55	178.85
"tcruzi-1011528"	180.2	109.27
"tcruzi-1014035"	62.8	69.45
"tcruzi-1014467"	78.49	85.02
"tcruzi-1014513"	68.46	64.05
"tcruzi-1016586"	59.31	43.95
"tcruzi-1017121"	300.77	182.19
"tcruzi-1017825"	75.75	86.54
"tcruzi-1019097"	70.06	64.64
"tcruzi-1020644"	275.45	254.6
"tcruzi-102076"	87.38	81.29
"tcruzi-1022489"	184.72	229.17
"tcruzi-1023491"	96.25	95.94
"tcruzi-1023539"	125.45	144.19
"tcruzi-1024789"	179.4	220.25
"tcruzi-1025150"	122.46	136.47
"tcruzi-1025367"	367.33	159.13
"tcruzi-1025720"	145.69	135.35
"tcruzi-1025721"	144.3	129.89
"tcruzi-1026307"	6072.49	6379.96
"tcruzi-1026309"	3632.64	4801.9
"tcruzi-1026310"	2486.84	2380.84
"tcruzi-1026311"	1672.63	1355.75
"tcruzi-1026312"	2918.4	2545.87
"tcruzi-1026317"	1365.1	1776.66
"tcruzi-1027797"	82.62	95.66
"tcruzi-1028387"	82.47	89.13
"tcruzi-1028589"	86.94	104.08
"tcruzi-1028592"	1860.5	1258.83
"tcruzi-1028593"	173.72	179.4
"tcruzi-1028596"	216.81	212.4
"tcruzi-102951"	89.12	82.1
"tcruzi-1029730"	3446.09	3499.26
"tcruzi-102996"	45.03	57.9
"tcruzi-1030119"	8419.55	7725.87
"tcruzi-1030161"	64.64	105.94
"tcruzi-1031344"	610.38	347.83
"tcruzi-1032192"	247.07	242.99
"tcruzi-1032967"	122.77	131.15
"tcruzi-1034083"	344.56	409.52
"tcruzi-1035077"	7725.87	8419.55
"tcruzi-1035078"	14372.89	12759.28
"tcruzi-1035080"	1714.01	1681.72
"tcruzi-1035095"	116.29	117.18
"tcruzi-1035330"	11884.43	13585.88
"tcruzi-1035452"	592.69	515.18
"tcruzi-1035831"	20053.34	20053.34
"tcruzi-1036424"	704.98	830.3
"tcruzi-1036899"	951.02	966.31
"tcruzi-1037510"	497.06	423.23
"tcruzi-1038739"	487.96	454.97
"tcruzi-1039442"	329.63	277.13
"tcruzi-1039443"	324.77	327.37
"tcruzi-1040693"	159.33	176.74
"tcruzi-1040731"	857.89	720.56
"tcruzi-1041302"	619.45	645.59
"tcruzi-1041708"	8100.96	8100.96
"tcruzi-1041867"	220.25	209.58
"tcruzi-1042509"	3057.3	2709.07
"tcruzi-1043101"	2186.31	2206.61
"tcruzi-1043105"	693.17	628.91
"tcruzi-1043430"	82.33	79.16
"tcruzi-1043597"	91.74	83.9
"tcruzi-104363"	645.59	702.83
