"Reporter Name"	"US_PO_normalizedData_r1"	"US_PO_normalizedData_r2"
"pos-controls-4847"	143.83	158.75
"pos-controls-4848"	112.65	266.56
"pos-controls-4849"	74.4	85.48
"pos-controls-4850"	85.4	85.13
"pos-controls-4851"	80.88	81.77
"pos-controls-4852"	91.93	85.77
"pos-controls-4861"	243.53	213.67
"pos-controls-4862"	187.45	215.24
"pos-controls-4863"	178.82	213.1
"pos-controls-4864"	236.66	233.67
"pos-controls-4865"	223.42	247.85
"pos-controls-4866"	274.25	228.26
"pos-controls-4867"	263.43	266.31
"pos-controls-4868"	234.31	221.44
"pos-controls-4885"	943.82	928.01
"pos-controls-4886"	1020.48	899.03
"pos-controls-4887"	1107.18	1059.58
"pos-controls-4888"	906.78	851.2
"pos-controls-4893"	108.65	113.68
"pos-controls-4894"	192.14	168.04
"pos-controls-4895"	126.2	133.65
"pos-controls-4896"	114.97	114.05
"pos-controls-4897"	98.27	90.85
"pos-controls-4898"	122.89	119.86
"pos-controls-4899"	98.5	86.29
"pos-controls-4900"	100.92	105.13
"pos-controls-4917"	104.2	74.78
"pos-controls-4918"	118.72	96.33
"pos-controls-4919"	96.26	107.91
"pos-controls-4920"	129.28	104.23
"pos-controls-4921"	74.14	94.55
"pos-controls-4922"	100.03	91.4
"pos-controls-4923"	83.77	80.09
"pos-controls-4924"	98.17	91.46
"pos-controls-4925"	275.39	330.62
"pos-controls-4926"	244.92	258.56
"pos-controls-4927"	234.11	358.94
"pos-controls-4928"	253.62	261.03
"pos-controls-4929"	386.59	388.78
"pos-controls-4930"	391.96	359.22
"pos-controls-4931"	322.49	340.46
"pos-controls-4932"	305.91	360.22
"pos-controls-4949"	809.16	720.64
"pos-controls-4950"	723.03	591.2
"pos-controls-4951"	675.24	872.46
"pos-controls-4952"	814.88	688.26
"pos-controls-4953"	141.72	68.87
"pos-controls-4954"	124.36	95.89
"pos-controls-4955"	120.08	156.35
"pos-controls-4956"	139.94	136.96
"pos-controls-5049"	334.53	343.27
"pos-controls-5050"	308.43	250.09
"pos-controls-5051"	281.2	352.45
"pos-controls-5052"	279.26	281.2
"pos-controls-5057"	119.05	82.04
"pos-controls-5058"	140.76	205.2
"pos-controls-5059"	123.64	94
"pos-controls-5060"	105.1	90.58
"pos-controls-5089"	13336.31	13164.31
"pos-controls-5090"	13405.49	14720.09
"pos-controls-5091"	13829.83	14864.06
"pos-controls-5092"	13004.44	14036.03
"pos-controls-5101"	1757.24	1998.58
"pos-controls-5102"	1700.97	1929.53
"pos-controls-5103"	3410.15	3474.52
"pos-controls-5104"	2243.56	2522.7
"pos-controls-5149"	122.79	109.68
"pos-controls-5150"	105.49	111.39
"pos-controls-5151"	102.54	151.96
"pos-controls-5152"	98.44	94.99
"pos-controls-5257"	9270.05	9365.34
"pos-controls-5258"	8079.13	5796.58
"pos-controls-5259"	10013.05	8992.4
"pos-controls-5260"	7935.13	8964.75
"pos-controls-5261"	157.62	154.39
"pos-controls-5262"	126.1	113.12
"pos-controls-5263"	114.57	134.19
"pos-controls-5264"	121.36	89.98
"pos-controls-5313"	3593.14	3240.82
"pos-controls-5314"	3096.99	3136.52
"pos-controls-5315"	3282.43	2963.96
"pos-controls-5316"	3206.47	3038.88
"pos-controls-537"	407.82	443.7
"pos-controls-538"	545.74	456.1
"pos-controls-539"	345.12	381.72
"pos-controls-540"	476.7	463.81
"pos-controls-5401"	1238.46	1276.22
"pos-controls-5402"	1112.9	955.58
"pos-controls-5403"	1348.09	832.42
"pos-controls-5404"	1001.06	1185.68
"pos-controls-541"	37044.48	39136.1
"pos-controls-542"	41343.14	41802.61
"pos-controls-543"	42492.45	45318.86
"pos-controls-544"	46179.08	42676.54
"pos-controls-5465"	1739.41	1817.81
"pos-controls-5466"	1683.38	1487.78
"pos-controls-5467"	1860.87	1853.85
"pos-controls-5468"	1728.95	1689.55
"pos-controls-5469"	6201.5	3653.64
"pos-controls-5470"	6226.58	6226.58
"pos-controls-5471"	6849.22	5679.07
"pos-controls-5472"	9058.97	8497.16
"pos-controls-5481"	665.55	603.97
"pos-controls-5482"	482.19	403.42
"pos-controls-5483"	610.18	549.14
"pos-controls-5484"	632.73	547.45
"pos-controls-5485"	10239.53	8263.65
"pos-controls-5486"	5830.3	6591.95
"pos-controls-5487"	7974.96	6971.96
"pos-controls-5488"	6000.86	5486.47
"pos-controls-5549"	26378.44	24014.51
"pos-controls-5550"	27409.66	27997.07
"pos-controls-5551"	25748.37	25691.27
"pos-controls-5552"	26663.28	25343.95
"pos-controls-5565"	13540	14120.75
"pos-controls-5566"	11754.5	12300.44
"pos-controls-5567"	13964.7	13443.19
"pos-controls-5568"	11823.48	11754.5
"pos-controls-5577"	293.97	240.38
"pos-controls-5578"	335.01	231.46
"pos-controls-5579"	307.46	252.77
"pos-controls-5580"	300.58	580.55
"pos-controls-5581"	316.77	283.33
"pos-controls-5582"	484.97	487.65
"pos-controls-5583"	344.64	318.81
"pos-controls-5584"	321.52	293.97
"pos-controls-5613"	716.84	589.8
"pos-controls-5614"	1114.65	826.41
"pos-controls-5615"	701.48	501.47
"pos-controls-5616"	497.57	337.69
"pos-controls-5617"	44060.23	42840.72
"pos-controls-5618"	44866.13	43853.02
"pos-controls-5619"	42310.47	43445.59
"pos-controls-5620"	42374.79	42080
"pos-controls-5753"	146.7	150.47
"pos-controls-5754"	175.79	143.73
"pos-controls-5755"	129.96	146.7
"pos-controls-5756"	134.34	136.7
"pos-controls-5781"	107.06	115.44
"pos-controls-5782"	138.3	128.44
"pos-controls-5783"	125.03	118.72
"pos-controls-5784"	136.42	126.75
"pos-controls-5785"	96.18	555.55
"pos-controls-5786"	88.77	95.82
"pos-controls-5787"	78.69	85.53
"pos-controls-5788"	109.76	89.33
"pos-controls-5845"	119.34	103.6
"pos-controls-5846"	130.33	116.84
"pos-controls-5847"	99.15	96.07
"pos-controls-5848"	196.65	227
"pos-controls-5869"	297.47	286.91
"pos-controls-5870"	268.68	257.28
"pos-controls-5871"	289.27	301.44
"pos-controls-5872"	281.48	257.63
"pos-controls-5925"	42080	34567.73
"pos-controls-5926"	38337.1	36716.45
"pos-controls-5927"	35563.82	38020.43
"pos-controls-5928"	37472.96	34218.68
"pos-controls-5965"	156.35	186.24
"pos-controls-5966"	136.88	176.22
"pos-controls-5967"	156.69	139.21
"pos-controls-5968"	172.88	133.53
"pos-controls-5969"	149.67	124.45
"pos-controls-5970"	102.78	104.56
"pos-controls-5971"	97.22	105.46
"pos-controls-5972"	125.86	121.39
"pos-controls-5993"	263.87	303.3
"pos-controls-5994"	304.01	261.96
"pos-controls-5995"	378.03	395.24
"pos-controls-5996"	284.2	263.43
"pos-controls-5997"	114.3	134.81
"pos-controls-5998"	92.75	98.12
"pos-controls-5999"	89.33	111.51
"pos-controls-6000"	112.96	114.24
"pos-controls-6029"	395.24	377.15
"pos-controls-6030"	343.8	356.67
"pos-controls-6031"	361.33	439.55
"pos-controls-6032"	366.36	277.06
"pos-controls-6097"	43927.05	37845.02
"pos-controls-6098"	41195.73	48645.58
"pos-controls-6099"	44462.95	44950.42
"pos-controls-6100"	39544.5	48166.26
"pos-controls-6109"	117.66	142.7
"pos-controls-6110"	92.52	80.66
"pos-controls-6111"	78.35	79.18
"pos-controls-6112"	81.07	75.44
"pos-controls-613"	21477.72	20783.63
"pos-controls-614"	21137.2	21804.14
