"Reporter Name"	"BR_PO_normalizedData_r1"	"BR_PO_normalizedData_r2"
"tcruzi-100869"	4449.42	4104.82
"tcruzi-1010241"	288.92	258.25
"tcruzi-1010971"	276.77	361.8
"tcruzi-101139"	223.87	267.81
"tcruzi-1011528"	312.64	294.42
"tcruzi-1014035"	121.61	93.64
"tcruzi-1014467"	151.6	123.26
"tcruzi-1014513"	82.93	82.9
"tcruzi-1016586"	54.62	46.85
"tcruzi-1017121"	320.97	384.57
"tcruzi-1017825"	65.41	93.24
"tcruzi-1019097"	148.56	168.6
"tcruzi-1020644"	195.97	178.05
"tcruzi-102076"	1518.87	1583.78
"tcruzi-1022489"	584.82	573.54
"tcruzi-1023491"	185.65	207.8
"tcruzi-1023539"	159.84	159.08
"tcruzi-1024789"	100.54	99.72
"tcruzi-1025150"	214.3	210.82
"tcruzi-1025367"	217.95	289.49
"tcruzi-1025720"	31540.85	33462.27
"tcruzi-1025721"	20942.74	20274.42
"tcruzi-1026307"	48334.01	46300.86
"tcruzi-1026309"	43774.71	41730.98
"tcruzi-1026310"	41984.25	39136.1
"tcruzi-1026311"	47185.54	47185.54
"tcruzi-1026312"	43101.19	39336.97
"tcruzi-1026317"	26741.47	41847.14
"tcruzi-1027797"	310.48	416.65
"tcruzi-1028387"	178.32	175.62
"tcruzi-1028589"	326.5	425.13
"tcruzi-1028592"	28565.29	23612.35
"tcruzi-1028593"	21007.42	24140.05
"tcruzi-1028596"	8337.39	8829.18
"tcruzi-102951"	187.13	175.62
"tcruzi-1029730"	3534.37	3910.85
"tcruzi-102996"	58.04	70.74
"tcruzi-1030119"	46783.5	43982.79
"tcruzi-1030161"	109.48	111.51
"tcruzi-1031344"	304.98	326.19
"tcruzi-1032192"	341.29	419.89
"tcruzi-1032967"	971.08	1055.51
"tcruzi-1034083"	189.18	204.56
"tcruzi-1035077"	12300.44	11220.55
"tcruzi-1035078"	12581.86	14556.34
