"Reporter Name"	"CO_PO_normalizedData_r1"	"CO_PO_normalizedData_r2"
"pos-controls-4926"	197.99	216.95
"pos-controls-4927"	227.83	251.77
"pos-controls-4928"	184.81	173.74
"pos-controls-4929"	315.36	389.66
"pos-controls-4930"	343.8	337.69
"pos-controls-4931"	293.45	311.61
"pos-controls-4932"	279.26	307.46
"pos-controls-4949"	6226.58	5331.92
"pos-controls-4950"	6154.62	5641.73
"pos-controls-4951"	5465.2	3593.14
"pos-controls-4952"	6260.49	4298.09
"pos-controls-4953"	126.52	79.86
"pos-controls-4954"	78.47	91.74
"pos-controls-4955"	94	127.34
"pos-controls-4956"	104.37	140.14
"pos-controls-5049"	239.89	264.71
"pos-controls-5050"	242.49	266.18
"pos-controls-5051"	319.52	257.63
"pos-controls-5052"	337.69	318.3
"pos-controls-5057"	79.86	137.58
"pos-controls-5058"	92.96	128.09
"pos-controls-5059"	62.43	97.68
"pos-controls-5060"	91.82	107.26
"pos-controls-5089"	3038.88	4512.92
"pos-controls-5090"	2942.18	4173.98
"pos-controls-5091"	2758.58	4104.82
"pos-controls-5092"	2846.83	4241.51
"pos-controls-5101"	10855.65	15164.88
"pos-controls-5102"	10895.7	12521.91
"pos-controls-5103"	12300.44	18351.86
"pos-controls-5104"	11673.01	16705.8
"pos-controls-5149"	440.67	483
"pos-controls-5150"	486.78	598.79
"pos-controls-5151"	495.45	532.11
"pos-controls-5152"	391.38	409.47
"pos-controls-5257"	11142.77	16095.93
"pos-controls-5258"	11332.39	16327.77
"pos-controls-5259"	11965.26	16998.69
"pos-controls-5260"	10609.7	14183.84
"pos-controls-5261"	102.47	75.43
"pos-controls-5262"	135.98	79.09
"pos-controls-5263"	84.37	72.22
"pos-controls-5264"	128.44	76.82
"pos-controls-5313"	22363.58	27116.83
"pos-controls-5314"	21060.33	24082.53
"pos-controls-5315"	21007.42	25748.37
"pos-controls-5316"	24082.53	24957.87
"pos-controls-537"	202.35	9335.69
"pos-controls-538"	169.97	3182.84
"pos-controls-539"	181.26	9270.05
"pos-controls-540"	162.54	428.7
"pos-controls-5401"	8829.18	9905.38
"pos-controls-5402"	8377.29	10475.48
"pos-controls-5403"	7935.13	10290.45
"pos-controls-5404"	8788.83	10013.05
"pos-controls-541"	34411.59	38020.43
"pos-controls-542"	36636.33	39738.19
"pos-controls-543"	36716.45	37404.91
"pos-controls-544"	38464.93	40515.42
"pos-controls-5465"	3808.91	3632.14
"pos-controls-5466"	3474.52	2026.98
"pos-controls-5467"	4989.95	5679.07
"pos-controls-5468"	4490.92	5742.02
"pos-controls-5469"	15981.11	17389.86
"pos-controls-5470"	15090.79	17714.22
"pos-controls-5471"	15468.02	18876.69
"pos-controls-5472"	16605.14	19897.16
"pos-controls-5481"	1700.97	2771.99
"pos-controls-5482"	1578.81	2405.64
"pos-controls-5483"	1440.78	1806.65
"pos-controls-5484"	1352.93	2381.76
"pos-controls-5485"	19543.6	25500.52
"pos-controls-5486"	17084.54	23326.25
"pos-controls-5487"	17531.44	23726.08
"pos-controls-5488"	16410.5	21477.72
"pos-controls-5549"	39798.24	39232.53
"pos-controls-5550"	46906.64	44340.32
"pos-controls-5551"	34506.11	41436.15
"pos-controls-5552"	40334.99	43242.53
"pos-controls-5565"	45393.5	43324
"pos-controls-5566"	41923.58	39336.97
"pos-controls-5567"	42948.19	42948.19
"pos-controls-5568"	39927.47	35717.03
"pos-controls-5577"	197.23	219.58
"pos-controls-5578"	303.3	329.5
"pos-controls-5579"	210.38	253.87
"pos-controls-5580"	186.52	202.11
"pos-controls-5581"	265.27	343.27
"pos-controls-5582"	371.58	442.4
"pos-controls-5583"	288.66	345.12
"pos-controls-5584"	301.26	279.26
"pos-controls-5613"	928.01	1055.51
"pos-controls-5614"	1103.85	1062.49
"pos-controls-5615"	1087.69	788.36
"pos-controls-5616"	931.21	899.03
"pos-controls-5617"	38814.29	36965.41
"pos-controls-5618"	36133.79	38337.1
"pos-controls-5619"	39843.92	40262.09
"pos-controls-5620"	37845.02	40334.99
"pos-controls-5753"	627.81	249.36
"pos-controls-5754"	779.81	413.61
"pos-controls-5755"	675.24	267.09
"pos-controls-5756"	613.61	283.14
"pos-controls-5781"	111.51	114.13
"pos-controls-5782"	117.52	154.5
"pos-controls-5783"	107.46	141.44
"pos-controls-5784"	134.19	123.08
"pos-controls-5785"	86.03	110.73
"pos-controls-5786"	79.7	108.65
"pos-controls-5787"	81.42	110.05
"pos-controls-5788"	99.11	86.21
