"Reporter Name"	"CO_NE_normalizedData_r1"	"CO_NE_normalizedData_r2"
"pos-controls-6112"	78.54	82.72
"pos-controls-613"	678.26	951.02
"pos-controls-614"	851.26	851.26
"pos-controls-6149"	215.23	141.72
"pos-controls-615"	217.32	615.91
"pos-controls-6150"	204.3	159.83
"pos-controls-6151"	182.19	128.39
"pos-controls-6152"	163.76	138.72
"pos-controls-616"	454.97	1026.15
"pos-controls-6221"	135.01	134.88
"pos-controls-6222"	125.14	175.32
"pos-controls-6223"	107.9	123.19
"pos-controls-6224"	114.81	167.82
"pos-controls-6225"	136.79	181.12
"pos-controls-6226"	146.55	158.03
"pos-controls-6227"	128.32	245.24
"pos-controls-6228"	139.2	167.51
"pos-controls-6249"	116.32	146.05
"pos-controls-6250"	144.88	153.62
"pos-controls-6251"	150.67	182.19
"pos-controls-6252"	131.15	159.13
"pos-controls-6273"	129.04	203.82
"pos-controls-6274"	127.42	161.12
"pos-controls-6275"	129.89	173.97
"pos-controls-6276"	165.07	155.11
"pos-controls-6333"	128.28	95.05
"pos-controls-6334"	133.59	96.31
"pos-controls-6335"	158.5	163.6
"pos-controls-6336"	172.69	105.56
"pos-controls-6341"	114.05	181.55
"pos-controls-6342"	115.73	203.66
"pos-controls-6343"	113.35	106.98
"pos-controls-6344"	92.8	131.92
"pos-controls-6345"	180.44	232.59
"pos-controls-6346"	215.97	144.88
"pos-controls-6347"	244.03	227.09
"pos-controls-6348"	188.01	227.84
"pos-controls-6457"	141.47	149.91
"pos-controls-6458"	182.94	185.09
"pos-controls-6459"	141.06	172.81
"pos-controls-6460"	167.96	167.31
"pos-controls-6461"	111.67	115.03
"pos-controls-6462"	72.6	94.81
"pos-controls-6463"	100.19	81.37
"pos-controls-6464"	74.27	100.45
"pos-controls-6465"	112.95	136.79
"pos-controls-6466"	127.01	133.93
"pos-controls-6467"	121.97	212.4
"pos-controls-6468"	122.4	130.16
"pos-controls-6469"	90.4	92.5
"pos-controls-6470"	270.77	109.38
"pos-controls-6471"	96.78	85.9
"pos-controls-6472"	81.29	89.73
"pos-controls-6509"	170.32	267.56
"pos-controls-6510"	218.55	452.96
"pos-controls-6511"	128.55	240.03
"pos-controls-6512"	186.01	276.48
"pos-controls-6529"	106.57	111.16
"pos-controls-6530"	69.97	70.58
"pos-controls-6531"	89.82	94.6
"pos-controls-6532"	99.01	75.56
"pos-controls-705"	152.82	119.22
"pos-controls-706"	149.91	131.83
"pos-controls-707"	178.85	126.84
"pos-controls-708"	154.24	111.7
"pos-controls-773"	283.98	389.21
"pos-controls-774"	290.19	380.12
"pos-controls-775"	293.44	411.78
"pos-controls-776"	236.79	325.66
"pos-controls-777"	266.25	331.99
"pos-controls-778"	287.2	302.57
"pos-controls-779"	300.77	326.99
"pos-controls-780"	301.71	315.85
"pos-controls-813"	91.66	142.84
"pos-controls-814"	74.13	66.61
"pos-controls-815"	76.14	83.26
"pos-controls-816"	74.68	61.95
"pos-controls-829"	764.17	255.12
"pos-controls-830"	461.3	193.55
"pos-controls-831"	387.23	184.54
"pos-controls-832"	328.29	173.21
"pos-controls-893"	70.35	64.45
"pos-controls-894"	65.28	98.93
"pos-controls-895"	60.09	79.06
"pos-controls-896"	64.41	79.68
"pos-controls-949"	131.51	155.57
"pos-controls-950"	160.11	196.75
