"Reporter Name"	"BR_NE_normalizedData_r1"	"BR_NE_normalizedData_r2"
"pos-controls-4289"	115.46	116.68
"pos-controls-4290"	106.27	132.94
"pos-controls-4291"	128.22	99.43
"pos-controls-4292"	120.52	92.74
"pos-controls-4293"	178.73	195.61
"pos-controls-4294"	195.61	178.46
"pos-controls-4295"	171.6	189.41
"pos-controls-4296"	190.84	170.03
"pos-controls-4301"	138.07	228.94
"pos-controls-4302"	188.9	292.89
"pos-controls-4303"	150.55	337.3
"pos-controls-4304"	179	296.56
"pos-controls-4349"	650.32	229.17
"pos-controls-4350"	630.17	110.78
"pos-controls-4351"	589.01	131.03
"pos-controls-4352"	608.71	127.01
"pos-controls-4353"	467.06	138.75
"pos-controls-4354"	554.76	126.03
"pos-controls-4355"	526.71	159.58
"pos-controls-4356"	498.16	97.81
"pos-controls-4385"	82.5	82.85
"pos-controls-4386"	76.73	77.68
"pos-controls-4387"	73.98	68.43
"pos-controls-4388"	75.16	82.01
"pos-controls-4401"	523.42	504.84
"pos-controls-4402"	503.51	480.45
"pos-controls-4403"	494.26	693.17
"pos-controls-4404"	486.42	532.8
"pos-controls-4449"	379.49	270.77
"pos-controls-4450"	310.79	265.27
"pos-controls-4451"	311.23	285.17
"pos-controls-4452"	377.22	270.23
"pos-controls-4609"	80.26	84.81
"pos-controls-4610"	85.44	95.9
"pos-controls-4611"	83.53	93.25
"pos-controls-4612"	96.41	113.18
"pos-controls-4621"	99.51	82.24
"pos-controls-4622"	70.27	70.68
"pos-controls-4623"	77.87	77.75
"pos-controls-4624"	58.39	61.95
"pos-controls-4729"	147.11	127.29
"pos-controls-4730"	167.82	153.65
"pos-controls-4731"	151.09	140.03
"pos-controls-4732"	144.38	116.35
"pos-controls-4757"	122.55	94.45
"pos-controls-4758"	93.76	90.79
"pos-controls-4759"	116.68	104.17
"pos-controls-4760"	90.4	95.68
"pos-controls-4781"	57.41	72.45
"pos-controls-4782"	75.2	70.9
"pos-controls-4783"	77.95	77.55
"pos-controls-4784"	58.85	63.22
"pos-controls-4793"	104.53	98.79
"pos-controls-4794"	102.39	98.97
"pos-controls-4795"	78.77	91.3
"pos-controls-4796"	84.66	77.02
"pos-controls-4797"	85.54	83.78
"pos-controls-4798"	80.99	82.96
"pos-controls-4799"	110.41	73.87
"pos-controls-4800"	86.24	79.1
"pos-controls-4825"	248.04	176.74
"pos-controls-4826"	219.8	210.94
"pos-controls-4827"	268.41	175.22
"pos-controls-4828"	256.91	166.1
"pos-controls-4845"	98.68	96.08
"pos-controls-4846"	117.12	97.1
"pos-controls-4847"	86.66	88.83
"pos-controls-4848"	106.77	93.07
"pos-controls-4849"	71.58	74.45
"pos-controls-4850"	82.29	96.21
"pos-controls-4851"	79.87	85.5
"pos-controls-4852"	87.29	89.47
"pos-controls-4861"	148.38	149.06
"pos-controls-4862"	116.97	92.91
"pos-controls-4863"	141.72	106.11
"pos-controls-4864"	124.3	131.23
"pos-controls-4865"	152.08	211.19
"pos-controls-4866"	147.59	225.15
"pos-controls-4867"	161.39	200.12
"pos-controls-4868"	176.3	160.04
"pos-controls-4885"	250.23	319.16
"pos-controls-4886"	248.61	237.66
"pos-controls-4887"	266.6	331.99
"pos-controls-4888"	239.18	275.78
"pos-controls-4893"	95.05	108.57
"pos-controls-4894"	85.44	106.2
"pos-controls-4895"	96.74	81.57
"pos-controls-4896"	88.75	69.79
"pos-controls-4897"	78.72	92.4
"pos-controls-4898"	70.66	77.2
"pos-controls-4899"	66.53	70.44
"pos-controls-4900"	75.56	80.14
"pos-controls-4917"	127.29	86.89
"pos-controls-4918"	108.23	86.01
"pos-controls-4919"	113.58	95.24
"pos-controls-4920"	124.97	95.94
"pos-controls-4921"	93.25	85.7
"pos-controls-4922"	97.07	93.57
"pos-controls-4923"	109.64	109.83
"pos-controls-4924"	109.01	102.12
"pos-controls-4925"	201.75	108.47
"pos-controls-4926"	162.28	120.08
"pos-controls-4927"	172.69	166.24
"pos-controls-4928"	151.48	143.68
"pos-controls-4929"	242.41	323.55
"pos-controls-4930"	245.7	324.25
"pos-controls-4931"	263.78	249.75
"pos-controls-4932"	263.52	317.11
"pos-controls-4949"	128.82	120.01
"pos-controls-4950"	108.47	152.59
"pos-controls-4951"	97.59	114.53
"pos-controls-4952"	113.9	127.36
"pos-controls-4953"	72.98	114.05
"pos-controls-4954"	97.75	117.36
"pos-controls-4955"	84.81	102.61
"pos-controls-4956"	90.36	120.65
"pos-controls-5049"	179.95	165.07
"pos-controls-5050"	191.4	169.31
"pos-controls-5051"	174.51	135.35
"pos-controls-5052"	173.36	144.3
"pos-controls-5057"	91.24	75.26
"pos-controls-5058"	66.74	78.7
"pos-controls-5059"	90.15	72.39
"pos-controls-5060"	92.34	80.87
"pos-controls-5089"	176.11	221.84
"pos-controls-5090"	152.72	223.99
"pos-controls-5091"	171.52	210.55
"pos-controls-5092"	162.69	203.91
"pos-controls-5101"	80.95	92.11
"pos-controls-5102"	113.53	109.14
"pos-controls-5103"	114.68	113.81
"pos-controls-5104"	129.4	113.11
"pos-controls-5149"	1492.91	193.43
"pos-controls-5150"	75.38	112.19
"pos-controls-5151"	113.62	79.48
"pos-controls-5152"	68.43	211.61
"pos-controls-5257"	98.6	117.23
"pos-controls-5258"	131.64	104.46
"pos-controls-5259"	107.31	156.17
"pos-controls-5260"	107.54	163.95
"pos-controls-5261"	100.09	83.58
"pos-controls-5262"	86.2	99.28
"pos-controls-5263"	96.15	77.68
"pos-controls-5264"	83.94	98.32
"pos-controls-5313"	221.38	198.96
"pos-controls-5314"	250.55	249.47
"pos-controls-5315"	272.46	170.69
"pos-controls-5316"	242.08	183.53
"pos-controls-537"	180.27	269.23
"pos-controls-538"	256.48	286.54
"pos-controls-539"	149.63	320.92
"pos-controls-540"	197.27	341.45
"pos-controls-5401"	131.96	128.39
"pos-controls-5402"	115.34	110.21
"pos-controls-5403"	121.37	87.91
"pos-controls-5404"	116.57	116.05
"pos-controls-541"	130.92	157.34
"pos-controls-542"	163.29	152.92
"pos-controls-543"	159.48	150.92
"pos-controls-544"	161.07	152.45
"pos-controls-5465"	254.34	468.14
"pos-controls-5466"	201.07	389.21
"pos-controls-5467"	254.1	407.25
"pos-controls-5468"	249.03	448.37
"pos-controls-5469"	211.85	148.43
"pos-controls-5470"	166.43	138.56
"pos-controls-5471"	204.7	124.67
"pos-controls-5472"	223.69	141.77
"pos-controls-5481"	330.29	615.91
"pos-controls-5482"	316.25	652.82
"pos-controls-5483"	321.49	513.42
"pos-controls-5484"	327.73	704.98
"pos-controls-5485"	216.63	139.61
"pos-controls-5486"	187.28	100.09
"pos-controls-5487"	224.46	151.51
"pos-controls-5488"	207.54	123.87
"pos-controls-5549"	230.05	370.28
"pos-controls-5550"	229.71	309.29
"pos-controls-5551"	208.49	326.24
"pos-controls-5552"	194.58	294.32
"pos-controls-5565"	313.01	128.82
"pos-controls-5566"	255.12	174.17
"pos-controls-5567"	288.19	184.72
"pos-controls-5568"	278.5	149.55
"pos-controls-5577"	165.07	303.98
"pos-controls-5578"	160.64	336.76
"pos-controls-5579"	187.74	352.54
"pos-controls-5580"	180.54	282.72
