"Reporter Name"	"LE_NE_normalizedData_r1"	"LE_NE_normalizedData_r2"
"pos-controls-5788"	76.34	73.62
"pos-controls-5845"	59.39	71.1
"pos-controls-5846"	94.97	77.48
"pos-controls-5847"	59	83.3
"pos-controls-5848"	74.82	73.08
"pos-controls-5869"	184.9	191.4
"pos-controls-5870"	186.82	169.65
"pos-controls-5871"	175.97	209.93
"pos-controls-5872"	184.54	188.01
"pos-controls-5925"	111.86	105.78
"pos-controls-5926"	101.72	109.74
"pos-controls-5927"	106.67	124.3
"pos-controls-5928"	119.33	103.08
"pos-controls-5965"	86.06	65
"pos-controls-5966"	74.86	73.19
"pos-controls-5967"	71.13	80.38
"pos-controls-5968"	81.12	86.44
"pos-controls-5969"	104.29	81.98
"pos-controls-5970"	83.37	90.91
"pos-controls-5971"	92.8	96.95
"pos-controls-5972"	71.33	90.32
"pos-controls-5993"	122.65	133.89
"pos-controls-5994"	98.05	126.03
"pos-controls-5995"	105.78	122.88
"pos-controls-5996"	109.21	137.21
"pos-controls-5997"	85.9	78.58
"pos-controls-5998"	71.16	71.24
"pos-controls-5999"	62.9	66.41
"pos-controls-6000"	68.1	73.54
"pos-controls-6029"	190.77	193.31
"pos-controls-6030"	186.58	165.94
"pos-controls-6031"	162.45	151.24
"pos-controls-6032"	139.98	157.27
"pos-controls-6097"	138.07	163.76
"pos-controls-6098"	198.48	165.07
"pos-controls-6099"	146.9	156.11
"pos-controls-6100"	169.43	163.84
"pos-controls-6109"	58.85	59.14
"pos-controls-6110"	63.45	62.55
"pos-controls-6111"	61.18	54.17
"pos-controls-6112"	83.74	65.85
"pos-controls-613"	94.83	89.91
"pos-controls-614"	94.19	97.79
"pos-controls-6149"	87.7	81.44
"pos-controls-615"	80.03	87.11
"pos-controls-6150"	85.22	81.66
"pos-controls-6151"	96.41	88.23
"pos-controls-6152"	80.68	88.47
"pos-controls-616"	96.99	104.8
"pos-controls-6221"	222.09	166.05
"pos-controls-6222"	204.7	241.73
"pos-controls-6223"	220.4	199.82
"pos-controls-6224"	213.1	187.58
"pos-controls-6225"	181.91	205.14
"pos-controls-6226"	211.55	219.02
"pos-controls-6227"	193.55	226.34
"pos-controls-6228"	179.95	171.6
"pos-controls-6249"	191.86	205.99
"pos-controls-6250"	195.84	232.78
"pos-controls-6251"	219.8	206.26
"pos-controls-6252"	176.6	153.05
"pos-controls-6273"	111.32	162.69
"pos-controls-6274"	107.12	110.17
"pos-controls-6275"	100.78	114.61
"pos-controls-6276"	110.64	96.61
"pos-controls-6333"	72.24	96.85
