"Reporter Name"	"MX_PO_normalizedData_r1"	"MX_PO_normalizedData_r2"
"pos-controls-4899"	64.32	93.3
"pos-controls-4900"	84.76	194.83
"pos-controls-4917"	159.6	138.79
"pos-controls-4918"	96.53	131.51
"pos-controls-4919"	117.75	117.47
"pos-controls-4920"	150.36	130.44
"pos-controls-4921"	127.6	111.45
"pos-controls-4922"	109.39	113.68
"pos-controls-4923"	112.68	114.97
"pos-controls-4924"	90.68	106.42
"pos-controls-4925"	228.26	205.51
"pos-controls-4926"	188.22	172.57
"pos-controls-4927"	226.15	194.64
"pos-controls-4928"	206.35	178.69
"pos-controls-4929"	291.22	273.34
"pos-controls-4930"	295.55	269.2
"pos-controls-4931"	262.97	260.18
"pos-controls-4932"	225.28	295.55
"pos-controls-4949"	615.18	370.2
"pos-controls-4950"	725.41	378.36
"pos-controls-4951"	701.48	402.93
"pos-controls-4952"	624.84	373.1
"pos-controls-4953"	116.02	132.09
"pos-controls-4954"	153.21	155.53
"pos-controls-4955"	147.65	121.81
"pos-controls-4956"	101.54	94.08
"pos-controls-5049"	204.78	183.72
"pos-controls-5050"	193.38	217.79
"pos-controls-5051"	170.47	228.42
"pos-controls-5052"	177.25	203.38
"pos-controls-5057"	102.71	108.45
"pos-controls-5058"	106.8	113.39
"pos-controls-5059"	107.17	111.31
"pos-controls-5060"	115.57	139.94
"pos-controls-5089"	1155.64	1764.96
"pos-controls-5090"	1149.62	1607.4
"pos-controls-5091"	1294.94	1872.02
"pos-controls-5092"	1173.42	1629.85
"pos-controls-5101"	41195.73	40774.77
"pos-controls-5102"	34567.73	48958.61
"pos-controls-5103"	47663.88	43853.02
"pos-controls-5104"	38814.29	44826.41
"pos-controls-5149"	148.92	138.05
"pos-controls-5150"	183.03	181.86
"pos-controls-5151"	201.26	232.54
"pos-controls-5152"	124.04	207.11
"pos-controls-5257"	8079.13	10855.65
"pos-controls-5258"	6721.06	8601.79
"pos-controls-5259"	7388.52	10802.25
"pos-controls-5260"	6661.89	10475.48
"pos-controls-5261"	168.34	136.34
"pos-controls-5262"	244.76	120.29
"pos-controls-5263"	98.54	111.57
"pos-controls-5264"	150.87	92.65
"pos-controls-5313"	21887.7	25431.11
"pos-controls-5314"	15350.31	22944.48
"pos-controls-5315"	18543.51	15562.39
"pos-controls-5316"	22102.13	20092.68
"pos-controls-537"	2812.96	3442.08
"pos-controls-538"	3001.85	3282.43
"pos-controls-539"	2234.29	2886.66
"pos-controls-540"	3410.15	2942.18
"pos-controls-5401"	45026.73	46906.64
"pos-controls-5402"	44462.95	42766.89
"pos-controls-5403"	41802.61	39798.24
"pos-controls-5404"	46906.64	46685.53
"pos-controls-541"	36090.31	40825.51
"pos-controls-542"	43593.36	43242.53
"pos-controls-543"	37915.57	43593.36
"pos-controls-544"	40614.44	42310.47
"pos-controls-5465"	2450.17	4030.77
"pos-controls-5466"	2008.48	2720.63
"pos-controls-5467"	2649.21	3942.46
"pos-controls-5468"	2720.63	3534.37
"pos-controls-5469"	47282.98	47000.9
"pos-controls-5470"	49028.96	45819.41
"pos-controls-5471"	44780.82	45965.06
"pos-controls-5472"	50359.36	50469.86
"pos-controls-5481"	1786.07	3020.7
"pos-controls-5482"	1757.24	2541.08
"pos-controls-5483"	1806.65	2812.96
"pos-controls-5484"	1728.95	2488.02
"pos-controls-5485"	46300.86	42156.55
"pos-controls-5486"	45654.06	47282.98
"pos-controls-5487"	47000.9	47934.29
"pos-controls-5488"	43101.19	39927.47
"pos-controls-5549"	29058.04	30798.25
"pos-controls-5550"	34803.92	36798.01
"pos-controls-5551"	27864.35	33395.08
"pos-controls-5552"	27740.5	33462.27
"pos-controls-5565"	40262.09	41305.34
"pos-controls-5566"	38898.06	39062.87
"pos-controls-5567"	35717.03	40061.71
"pos-controls-5568"	29760.89	36886.26
"pos-controls-5577"	181.64	186.1
"pos-controls-5578"	249	203.3
"pos-controls-5579"	203.71	176.9
